text,label,raw_outputs,probability
Xanzero你allin了嗎??????????,2,[-1.81152344 -1.20605469  3.23632812],0.9821340170165512
應該很開心吧，那麼多散戶上車了,1,[-2.56054688  3.8125     -2.99414062],0.9971945388373662
笑死,2,[-2.55078125 -1.45800781  4.41796875],0.996267105932299
力特開盤猛，紅盤，朋友想加碼,1,[-2.58007812  3.68554688 -2.8828125 ],0.9967062602300808
終於要噴了嗎,1,[-2.57421875  3.99023438 -3.        ],0.9976749929563383
4的， 現在不買要幹嘛  我自己今天也跟了10張,1,[-2.72460938  3.14648438 -2.30273438],0.9929308782642634
沒營養的重鹽重油加澱粉，吃了長高又長胖中國的光刻機廠叫NMSL,2,[-1.42480469 -1.10742188  3.07421875],0.9742854127901913
GG 阿光,0,[ 0.38989258 -0.14697266 -0.28369141],0.47745099169561867
台郡不意外 $$$$$,2,[-1.52050781 -1.16015625  2.44921875],0.9560710642650115
反觀,2,[-2.70703125 -1.4375      4.3203125 ],0.9959710007960921
歐盟反核又要綠能源 搞到沒空間 不能不用俄國天然氣,2,[-2.29492188 -1.56445312  4.17578125],0.9952604188856172
北約又不會吃人..俄羅斯不想烏克蘭加入北約意圖很明感謝丞相賜箭,2,[-2.2265625  -1.64257812  4.37109375],0.9962057970667946
上禮拜五空這檔留倉，今天早上爽賺，感謝您,1,[-0.99121094  2.38867188 -2.80664062],0.9619140437231974
感謝回答 主要是看完這三篇 覺得公司認為這是辛苦錢不會有太多人想進來 但已經在圈子裡的榮眾/三菱來說公司相比於它們似乎沒有太大優勢 這行業似乎有藥劑+熟練的工人就可以做 客戶的關係不算很強的護城河如果大陸自己開一家 價錢開一半 我想客戶也是會換的,2,[-1.80566406 -1.35742188  3.6953125 ],0.989633965945372
這種高精密度的儀器，下游會輕易給一家銷價競爭的新廠商接單，我想是不太可能的，當然你有你的看法，或許我太樂觀了，但我相信這行業有一定的技術門檻，不然洗壞了，可不是只有修不修的好的問題，後來無法生產，也是一大損失。,2,[ 0.03231812 -0.25878906  1.6171875 ],0.7362795176612028
推,2,[-2.74609375 -1.45410156  4.65625   ],0.997178391897375
不是來Diss的 只是看到原文說可以討論 提出一些自己的疑問 培養多家供應商是業界常態 通常是已經在業內的人出去開的 舉個例子 我的產業之前也是一個業內高階經理人 帶了幾個工程師 找到一個金主就新開間公司低價搶單 客戶也知道你之前做過 單又便宜就小量給你試試 後來結果不錯就慢慢把老公司業績吃掉 所以3551有沒有能力避免這種事 或是對現有競爭者如榮眾 有什麼技術是只有它能做 其他家做不到 護城河的深度 會影響我判斷安全邊際的容許值 感謝回參見教主！股版酸民不少，請教主無視即可,2,[-1.5546875  -1.125       2.93164062],0.9722245339865865
