text,label,raw_outputs,probability
您好請問還在嗎,2,[-1.33203125 -1.33496094  3.234375  ],0.9796621251936042
可以怎麼問你呢,2,[-2.90039062 -1.37109375  4.49609375],0.9965675926790293
#公告板規精簡+7月份營業員推廣+板務調查可以到14樓填我的表單唷,2,[-2.5546875  -1.546875    4.53515625],0.9968926247729583
填了喔,1,[-1.80566406  2.36523438 -2.40820312],0.9766677375051446
有哦有哦,2,[-2.75585938 -1.39160156  4.6796875 ],0.9971102725584599
想問一下所以複委託不會有違約交割的問題嘍,2,[-2.74023438 -1.56640625  4.625     ],0.9973273389903631
複委託已美股為例，他是看購買力，購買力就是指您帳戶有多少錢，只能下多少單，所以很少遇到我們違約交割問題,2,[-2.3671875  -1.5546875   4.37890625],0.9961901628400838
謝謝你🙏,2,[-1.6328125  -1.20507812  2.11523438],0.9436586172828983
不會,2,[-2.79882812 -1.45898438  4.484375  ],0.9967007371079537
恩，再來就變隔代沖,1,[-2.80859375  3.44140625 -2.45898438],0.9953528675985008
⋯⋯⋯天啊有詐玩文字遊戲😡,2,[-1.6953125 -1.59375    3.7265625],0.9907757995268603
疫情過後的科技、電子、通訊類相關應該都還是會再飆升不用急著贖回啦,1,[-2.48046875  2.72265625 -2.39453125],0.9886383640800934
第一富我2018年5月開始每月6千，現在報酬72%，可以參考看看😎,2,[-2.36132812 -0.84765625  2.83007812],0.9700785460512583
沒有現金壓力的話我是不會賣的！但目前沒工作....只好贖回幾支來度日｡ﾟヽ(ﾟ´Д`)ﾉﾟ｡,2,[-1.0546875  -0.21740723  0.31884766],0.5440267100235449
是不是住家裡一個月擠出來的錢是我的兩倍啊!!!,2,[-2.12304688 -1.47363281  4.24609375],0.9950305794087195
華美第一富我16號也剛扣不用擔心啦看著他慢慢衝上去吧XDD,1,[-2.80859375  3.1875     -2.09570312],0.9924921946016968
腳踏實地真的很重要,2,[-2.33007812 -0.77246094  2.2890625 ],0.9463624602025589
本來想說點什麼，但還是算了,2,[ 0.67236328 -1.54980469  1.78515625],0.7330003790006911
誰跟你韭菜我才不......😢,0,[ 2.671875   -1.39257812  0.25537109],0.9038278229808907
反指標就是我本人持有的時候一直跌賣掉就開始瘋狂漲屢試不爽等等我朋友剛剛走過來問我臉怎麼那麼綠還有一股韭菜味,0,[ 2.06640625 -1.015625    0.51269531],0.7953375460531177
住在鋼門套房中....,0,[ 5.26953125 -2.60546875 -1.44824219],0.998413165448418
投資的項目百百種，從定存基金股票股票還有分存股領股息的、當沖的看了網路上很多的文章跟影片，學了很多的名詞，但也是看了個眼花繚亂，想請問各位前輩在剛開始學投資時是怎麼入手研究的？,2,[-2.12890625 -1.50292969  4.1328125 ],0.994553831405677
你看過很多文章影片，很好啊去找個看盤軟體，試著用用看你學到的那些專有名詞吧。我差不多就是這樣，邊看盤邊學，偶爾遇到問題的時候再google一下，或複習之前看過的柴鼠兄弟。這樣操作有快兩年了吧，損益賠爆嗚嗚嗚外資把我的錢還我嗚嗚嗚,2,[-0.43652344 -1.85351562  3.04101562],0.9630471697166084
每天複習巴菲特的名言，就會理性許多。,2,[-2.48046875 -1.49609375  4.50390625],0.9966065604482907
小弟我是小韭菜目前持有玉山金10張已經知道現金股利可以退稅（611元*10張*0.085退稅=519元）那股票股利也是同樣可以退稅嗎？怎麼計算呢？,2,[-0.00632477 -1.58789062  2.36132812],0.8984966988867528
