text,label,raw_outputs,probability
可以請問你有跟營業員談賣出手續費的部分嗎？美股etf賣出的手續費好像滿高的😢,2,[-2.08789062 -1.68359375  4.01953125],0.9944689539275832
大家好想請問大家狗狗肉借殼上市的私募基金有三個代號PPGHPPGHUPPGHW請問這三個是差在哪呢？如果在狗狗肉上市前持有的話是不是需要考慮單位換股跟權證（不太清楚）呢？拜託大神們了🙏謝謝,2,[-2.37695312 -1.62695312  4.34375   ],0.9962559344443505
是不是什麼大危機的前兆韭菜很怕,0,[ 2.6015625  -1.02148438 -0.15527344],0.9172683212874178
Meta這只能用大崩跌形容了一天跌26%是三小『單日市值蒸發逾兩千億美元是美國企業市值史上單日蒸發最高』扯..然後直接拉崩社交股,0,[ 3.50585938 -1.05078125 -1.11035156],0.9800198802061953
網飛也是亞馬遜也是谷歌也是不管漲跌這種市值這麼大的公司跳這麼大很怪？,2,[ 0.60839844 -1.47167969  1.95410156],0.7734667239659736
現在就看財報發揮,2,[-2.15234375 -0.39428711  1.66015625],0.8693709056102685
投資人心裡不強健啦別人恐慌她們也恐慌集體嚇壞這也不意外因為恐慌效應我重看了看財報完全不擔心反而加碼多撿便宜超級開心😘😘😘😘😘,1,[-1.47753906  2.28515625 -2.7421875 ],0.9710837759283184
端看你信不信任這家公司,2,[-1.73046875 -1.63085938  3.53125   ],0.9892018880071626
今天中午有看股票yt審慎分析財報2021第四季營收比2020同期好但2022第一季預估營收又掉了下來然後財報也沒有列出2022的營利方向就看今晚美股或華爾街能不能吃下這些訊息了,0,[ 3.34765625 -1.27734375 -0.69580078],0.9733872068694613
老實說我個人是不會投資fb,2,[-1.9140625  -1.66601562  4.28515625],0.9953875677769325
社交公司呵呵,2,[-2.203125   -1.63671875  4.5859375 ],0.9968996498417846
99%營收都在廣告業務蘋果只要狠心一點完全封鎖用戶資料公司直接很慘等於營收都握在別人手裡很可怕的,0,[ 3.97460938 -1.890625   -0.56689453],0.9866859313698942
急遽惡化的通貨膨脹，在未來兩個禮拜內，不可能有所改變，因為，美國正在接受氣候炸彈的攻擊，在這個攻擊之下，冰凍美國，正在急遽惡化當中，由於需要暖氣，也會導致，原油價格將會逐漸居高不下，可能持續創新高，還有一件重要的事！2022年11月8日，就是美國的期中選舉了，以目前，如此通貨膨脹惡化的情況，民主黨的選舉態勢，勢必非常的低落，打擊通貨膨脹，是勢在必行的一件事，重點來了，怎麼打，升息，腳步勢必加快，甚至加大，而且是加大到，眾人無法想像的地步，為什麼會如此，原因，大自然的反撲，會導致，進行控制，勢必會失控！只有進行大規模的破壞，大面積的武器，才有辦法壓制通貨膨脹，這也代表著，不是美國一個國家要進行升息而已，而是，在這個地球上的主要貨幣發行國家，都會進行升息。三級跳的升息規模，準備好了嗎！以上，就是我這一次，強力看空的理由跟原因！,1,[-1.60351562  1.69433594 -1.68457031],0.9336656613018093
整篇完全不知道講什麼....只有疫情這事影響經濟才是各國央行不知道如何處理通膨就是過去2年各大國央行想要的可不可控其實他們心裡有數最後就是轉嫁非成熟國家需要暖氣和能源這事這對能源大國美國更是好笑原油價格現在是看OPEC+臉色美國自己一堆油井和頁岩油沒開期中選舉認真講只有和拜登民調有大關連拜登是以外交主導的方式進行....滿滿的看新聞標題打文章,2,[-1.65039062 -1.671875    4.13671875],0.9939681217306262
一開始宣布會跌，真正升息就會漲了,1,[-0.53417969  2.3046875  -2.93554688],0.9400343589012343
昨天剛買15萬TWD基金臉書暴跌25%亞馬遜今天續跌6%這支基金昨天剛買6萬韭菜命越賠越多了...,0,[ 4.7734375  -2.01367188 -1.29785156],0.9965753473243364
下次買哪一個要先講我跟你反著做,2,[-2.44921875 -1.11328125  3.67578125],0.9896015194993723
我愛你,2,[-1.78222656 -1.31835938  3.84570312],0.9907715241849597
又來了😈我也愛你❤️❤️❤️來陪我睡覺吧💤,1,[-0.52832031  0.33276367  0.10864258],0.4500608076874178
這兩隻放一年可以把前兩個月虧的八萬多賺回來嗎,1,[-1.78222656  1.42285156 -1.43164062],0.9106300483774689
眼光看遠一點,2,[-2.03125    -1.48828125  3.96875   ],0.9933002351804175
你需要學點風險控管,2,[-2.77929688 -1.48535156  4.5234375 ],0.9968790151916079
臉書不知道亞馬遜別怕,2,[-2.30273438 -1.21484375  3.40039062],0.9869374987873952
該止損就是要止損不要一直凹單,1,[ 0.80859375  0.82958984 -1.86914062],0.4886358746061535
看市場囉假如meta能在元宇宙加快進度並且可能稱霸某部分那可能股價遠遠高於現在，但那也要5-10年的長期投資只能說今年經濟不樂觀,0,[ 4.046875   -1.82617188 -0.76269531],0.9891532941817827
一年就別想了大家對今年都不樂觀,0,[ 4.90234375 -2.3515625  -1.03222656],0.9966574448462722
臉書可能要放五年，恭喜繳學費,2,[-2.15820312 -1.66308594  4.59375   ],0.9969235958151967
我看最近的價格跌到去年暴漲前想說好機會,0,[ 1.02539062  0.84472656 -1.48339844],0.5218982140355098
你有這種心態就是被當韭菜而已,2,[-0.76806641 -2.0546875   3.8046875 ],0.9869890169134875
你為什麼買他啊？沒原因跟賭博沒兩樣不是嗎,2,[-2.26757812 -1.44335938  4.47265625],0.9961366926576449
建議直接停損,0,[ 5.265625   -2.51171875 -1.45800781],0.998381337282683
虧8萬的NVDA停損了現在才買圖一基金15萬圖2基金6萬感覺持股比例沒啥問題?,2,[-2.51953125  0.74511719  0.86816406],0.5213740775084375
我是買基金不是單買FB買基金沒特別理由吧?看持股比例感覺還行,2,[-2.28125    -0.48901367  1.75976562],0.8903866590673409
那你知道暴漲的原因跟現在暴跌的原因嗎當大家都建議你停損的時候真的聽一下建議,2,[-0.59033203 -1.33300781  2.59765625],0.9426088698606557
賺錢沒分賠錢還想逃啊,0,[ 3.37304688 -1.02050781 -1.16113281],0.9774287872977135
沒事啦長期來說還是賺套到子孫那代這時候就是要攤平攤平還是攤平,0,[ 2.61914062 -0.79492188 -0.32226562],0.9210658695522811
為啥攤平不要賣了炒底越投越投根本是賭客,1,[-1.79980469  1.33105469 -1.00097656],0.8765943153697382
韭菜,0,[ 5.29296875 -2.578125   -1.36816406],0.9983414427480966
哈哈哈哈哈哈哈哈哈哈哈哈,2,[-2.54296875 -1.61328125  4.47265625],0.9968376567360124
看看meta大成本賭元宇宙會不會成功吧話說一天跌26％真的很刺激🤣🤣,2,[ 0.10424805 -0.55957031  1.51367188],0.7298943387085053
財報出來瞬間-26%,0,[ 4.6875     -2.03320312 -1.15820312],0.9959187344735717
為啥美股龍頭們也這麼劇烈,2,[-1.35253906 -1.29101562  2.70898438],0.965681233838813
全押元宇宙股價跟虛擬貨幣一樣大漲大跌,0,[ 4.6328125  -2.25       -0.75878906],0.9944510334905345
謝謝你，好險我上禮拜跑了,0,[ 5.296875   -2.5703125  -1.44726562],0.9984415617919802
老實說你是真的了解臉書未來的發展還是單純覺得這東西看起來酷酷的,2,[-2.34179688 -1.57226562  4.64453125],0.9970884399854291
不是啦我是買基金!FB比重5%,2,[-2.27539062  0.17358398  1.140625  ],0.7076893250885119
基金的話那就更簡單了再抓一些錢慢慢貼進去就好了啊但你看到FB佔比5%就該思考一下了,2,[-2.31640625 -1.1953125   3.32226562],0.9857334621764623
我跟你說我看著美股做空以太，起床直接傻眼，美股一休市幣圈直接起飛,1,[-1.47558594  2.578125   -2.78320312],0.9784233121107286
機構退光了怎連動😂,0,[ 1.74121094 -1.52929688  0.890625  ],0.6825231823327915
韭菜財報都不等一下的,0,[ 3.29101562 -1.4296875  -0.37744141],0.966720901751413
元宇宙是炒出來的再加上疫情在即短期有高機率無法成型,0,[ 1.88476562 -0.81835938  0.36694336],0.7774934156351753
電商我也是笑笑的盯著👀,2,[-1.85058594 -1.58691406  3.21679688],0.985709044860245
平倉就是真的虧了怕跌就不要玩股票,0,[ 2.42382812 -0.25878906 -0.71044922],0.8993492021139884
看到「玩」就知道，這種人不適合投資。,2,[-2.03125    -1.67480469  4.50390625],0.9964877784791334
你這不叫投資這叫賭博,2,[-2.390625  -1.5390625  4.3125   ],0.9959142873939356
亞馬遜在哭什麼盤後拉了十幾趴...真正的賺錢機器好嗎,1,[-1.55859375  1.24609375 -1.14941406],0.8683178037051344
snap拉更狂,1,[-2.59179688  3.29492188 -2.4609375 ],0.9940948213081346
我只能說。你真的很勇，這時機點你敢買，心臟很大,2,[-1.52929688  0.42797852  0.78076172],0.5549435877928017
我沒說清楚15萬買的是第一張圖的基金不是臉書,2,[-2.48828125 -1.5390625   4.56640625],0.9969155552279805
沒看懂他想表達的嗎..?他是指現在市場在修正敢在這時候買就要扛住下跌的風險不關買什麼基金的事,2,[ 0.74462891 -0.27929688  1.05078125],0.49981730579805533
升息本身沒影響長期收益，對短期市場，把資金當勞力套住。確實一種實力策略。ZAR就是如此,2,[-1.71386719 -1.2421875   2.61328125],0.9667731386672277
我笑了還有錢還我的喔😂今年第一笑話,2,[-0.06549072 -0.75488281  1.9765625 ],0.8368991497268948
AMZN盤後不是漲了嗎但只能說你心臟真的很大,1,[-1.89160156  1.90332031 -2.02929688],0.959621994033144
15萬而已放輕鬆,2,[-2.546875   -1.21972656  4.14453125],0.9941124004074283
我不是買臉書啦是買圖一的基金15萬臉書比重5%,2,[-2.34179688 -1.39746094  4.34375   ],0.9955600913420558
可憐啊還敢不作功課,2,[-2.28515625 -1.56835938  4.4921875 ],0.9965395942365284
我買的基金標的不好嗎？,0,[ 0.64160156  0.38793945 -0.12280273],0.44611685529171324
一群散戶,0,[ 4.15234375 -2.16992188 -0.3984375 ],0.9877959566793989
我買的基金我就不是散戶了,2,[-2.18945312 -0.24938965  1.47167969],0.8301661474355021
所以我想問原po是今年臉書就會倒了嗎？何況是指數基金，會怕就賣吧，只是倒時候不要犯賤買回來，難怪韭菜永遠賺不到,0,[ 2.23632812 -0.3059082  -0.46386719],0.8726897398438882
像你這樣的韭菜跌了就想跑不就標準被收割嗎？如果怕的話建議還是買ETF拉,1,[-0.17529297  1.15136719 -1.55957031],0.7508429102782316
該買圖一圖二基金了,1,[-2.86132812  2.44335938 -1.54296875],0.9770051881232507
買基金還要注意是不是把本金當利息給你直接複委託買VOOVTIQQQ之類就好了,2,[-2.12890625 -1.37890625  3.35546875],0.9872262126054766
