text,label,raw_outputs,probability
請問妳的手續費多少,2,[-2.83007812 -1.56152344  4.484375  ],0.9969757755441273
穴穴超好用！我定期定額買5000！懶得換美金，就沒用豐存股了。,1,[-1.97167969  1.51855469 -1.00976562],0.9006683018112998
現在超嘔吧….賣掉後有買其他的嗎,0,[ 1.45703125 -1.1796875   1.03125   ],0.5797588664343513
後來上鋼鐵、飛機都小賺大概10%嘔爆了,0,[ 2.1953125  -0.30444336 -0.91796875],0.8876580900758916
雖然沒有對帳單但一切預告在前有需要參加群組私訊賴連結🔗,2,[-2.52539062 -1.63671875  4.5390625 ],0.9970744407372847
喊盤少年skrskr,2,[ 0.19042969 -0.96875     1.84472656],0.7992183555351634
最愛抽插了,1,[-2.24804688  2.02539062 -1.36230469],0.9544532451371601
你說的防疫股靠防疫賺多少錢，看完我再回答你,2,[-2.19921875 -1.52148438  4.06640625],0.9943882297154566
舒服,1,[-2.56054688  3.62890625 -2.58984375],0.9959735960807886
直接空爛韭菜,0,[ 5.28125    -2.54296875 -1.44726562],0.998406305596117
啊就沒利多，當然出逃啊，傻傻的,0,[ 4.8984375  -2.09375    -1.47558594],0.9973825507756784
大家都知道好賺的時候是要給誰賺，而且疫情又不像去年一樣措手不及,2,[-0.79833984 -0.77587891  2.04296875],0.8944352385995396
因為你買了,1,[-2.8828125   3.33203125 -2.2734375 ],0.9943548239619611
股市哪有天天在過年尤其又是防疫股,2,[0.59521484 0.1262207  0.61181641],0.3847832067398837
我只要看到電話或簡訊，或是邀請入群，就會馬上進入耶！跟他們聊天很好玩呀！隨便找一個最近的：她們應該懶得詐騙我了吧哈哈我只是希望有人可以聊股票,2,[-2.25       -1.56542969  4.44140625],0.9963102635722163
哈哈哈哈好好笑可以跟我聊股票呀～,2,[-2.21875    -1.640625    3.98046875],0.9943800665793404
哇賽，我到底看了什麼，跟詐騙當起朋友了,2,[-2.10742188 -1.53320312  4.3984375 ],0.9958683615284134
..............….............,2,[-2.3671875 -1.6953125  3.828125 ],0.9940050883131306
有期許有展望有夢想有機會，跟進,1,[-2.67578125  3.765625   -2.91796875],0.9971626371043176
跟進,1,[-2.578125    3.92578125 -2.97460938],0.9975012895152171
跟進,1,[-2.578125    3.92578125 -2.97460938],0.9975012895152171
我寧願相信台積漲到9百多,1,[-2.02929688  2.67382812 -2.42578125],0.9850605448866485
幹嘛這樣><,2,[-2.36328125 -1.5703125   4.546875  ],0.9968079719383385
跟進,1,[-2.578125    3.92578125 -2.97460938],0.9975012895152171
跟進,1,[-2.578125    3.92578125 -2.97460938],0.9975012895152171
外資說的應該是一半一半我自己會看瑞士信貸還有高盛，短線反指標但也不要全部當真畢竟他們買股票的同時也有為下跌做避險基本上外資每一筆生意要嘛大賺要嘛小賠這筆賠錢了下一筆就又賺回來了，買長期看看投信還比較好，畢竟自己人比較知道自己人,1,[-2.5078125   1.77636719 -0.85400391],0.9209488419586481
我60股買在540🤣,1,[-1.35351562  1.65234375 -1.98144531],0.9294439545271524
我以為你要說9982😁😁,2,[-1.58496094 -1.25390625  2.12890625],0.9448805109536855
請問一下這個美系外資是哪家？我怎麼找不到QQ,2,[-2.58789062 -1.61425781  4.52734375],0.9970446545907202
這波我信會上去,1,[-2.59960938  3.84375    -3.0234375 ],0.9973744569805542
說實話，大部份買台積電的人，應該都賺錢啦,1,[-2.953125    3.08007812 -1.95507812],0.9911755808415951
可悲外資隨口喊喊全家死光,0,[ 3.80859375 -1.69335938 -0.55859375],0.9835107832402982
