喔 是喔 搶贏開閒聊也不會讓你賺錢
你想把日經指數代表日本股市也問題，我管你想怎樣XD
以前中國人曾經想把台灣從世界邊緣化 進而逼迫接受統一現在被美國以及世界各國主導邊緣化 這就是現世因果輪迴對台灣來說 美國好歹不會動不動就威脅要武統你 還有肉吃
肉是美國牛肉的意思嗎還是譬喻法XD
我又不吃牛肉 美國牛肉跟我又沒關係 總比中國豬瘟肉品好看看聯電被中國人反捅一刀的下場 你真以為中國人愛聯電?平常會喊中國聯電 被美國人告就馬上改口叫台灣聯電 笑鼠幾歲了 還不懂中國人?
日經=日本道窮  東證=日本標普      有啥好吵 =.=a啊如果不懂道窮跟標普的差別 自己查wiki
說老實話我覺得富時日本指數還比較能代表日本XD而且相比成分股家數 東證真得更代表整體日本XD日經225...很明顯就只有225間企業XD 太瞧不起日本了吧XD 要是你在台灣說 台灣50間企業代表台灣 其他都垃圾XD 那出去應該會被噓XD這也是為什麼很多人都說 標普500也不能代表美國所以才有要考慮買VTI還是只買SP500的爭論XD但說實話我覺得都無所謂啦...這又不是什麼大事情XD
謎片代表日本才對
價格加權是早期指數在用的吧…在市值加權出來之後就顯的過時了大立光加權比台積電還重你敢信XD不過畢竟是經典指數，日本主要網站是會把日經跟東證並列的。就像美國網站會把道瓊標普納指羅素並列一樣
不要說大立光，一狗票的公司影響力都大於台積電如果是用價格加權來計算的話
價格加權  好像只是要便於計算(以前沒電腦)
大家股癌真的深 我都直接稅過中午惹
價格加權本來就很搞笑 不能反映出整個國家狀態...不然你把A股用成價格加權 你會以為國家換了XD
少年股神 什麼是價格加權@@？
今天又看+～重播..玉山鴿出來面對=.=
好些人不是股癌 是政治不治之症...XD
少年股神換帳號？
黑金鋼為什麼那麼好吃 @[email protected]
英國一開盤直接噴   哇哈哈哈哈
難道只有豬年賠錢
德國dax
現在小道還是風平浪靜
大將軍 昨天看以色列沒漲擔心今天看英國紅就哇哈哈 也太可愛XD
難道只有鴿除夕夜還在麥當勞值班?!為奶粉錢努力嗎?!
...
雯晴有沒有去探班 玉山鴿
沒，雯晴在我家吃年夜飯
玉山哥 為了豬寶寶 每天認真賺錢
什麼都可以用玉米濃湯解決，為什麼還要買奶粉= =？
原油不錯
多 空 軍都聽令 一年一度 年菜PK大賽 開始 !
都可悲可憐的臭慘戶，2019繼續當肥料
gigi財稅的？
一群沒在準備拜拜跟年菜的，哼！
華航崩崩
已拜完 吃飽 賠錢
已吃飽 大家新年快樂！
Gary......嗚嗚...為什麼要說出我的狀況
小道一下往上衝，馬上坐溜滑梯，差點被巴@@
拿到紅包了 可以補錢了 995...
有人要看美股守歲嗎
25040空了一發~
股市沒開盤好空虛.......
台股明天該不會漲停吧?!
阿啊啊啊啊啊噴噴了噴了啦21點
要創新高囉
有比漲停更狂的事嗎
有  那就是先漲停  然後殺到跌停
再拉到漲停
然後宣佈下市
...好刺激 會心臟病
大家新年快樂 發大財
難道只有鴿除夕夜，還在輪班狂煮玉米濃湯?!為了生活嗎?!
玉山鴿認真煮玉米濃湯，過年還加班真的很辛苦
馬的好屌   馬的好屌  屌爆了   好屌    
真的好屌
  竹內射
無套    ???
美股 噴開低走高 27000
小道上看27000  27000空回22000
買
25000沒人做多吧？
都跑去玩刮刮樂，沒人要下單剛剛中500
美元起來
難道只有我刮刮樂 大樂透都賠錢
AAPL回170了...
那斯達克carry全世界？
空軍不忍直視小那噴了小道噴了
AAPL真的好猛喔
27000見
蘋果噴噴噴
拉xx出xx
某ID真的辛苦  拍拍連假值多軍班 真的要給讚！
跌下來依然更樂觀 多多風範令人歎為觀止
不管多空軍都有這種人在
空軍拍拍
跟著川普老師做就對惹
美股v起來
三樓厲害 搞不好真有可能
同樓上，求28折
想開戶，2.8折以下站內信，謝謝！
不知道還有沒有人在追蹤這檔，大股東富泰營造一直偷買，而富泰的董事長就是志豐董事長~~
55快800
EPS差不多 2.01左右 確實是2元附近 主要有幾個題材勝率頗高的油價下跌連帶上游原物料下降 長興本業有望提升毛利二來光阻劑用於 5G以及ABF設備出貨 都是好題材+實質成長回頭看籌碼面 大摩 瑞信 台企主力狂吃猛吃 等待疫情過後噴發機會很大但最近武漢 蘇州工廠停工 確實有影響 1-2月營收 也同時連帶影響終端需求 但以長線來看 目前點位非常適合長投 這波短期可望站上34 樂觀點有機會 45 但也得看接下來疫情發展與實際財報的開出嗚嗚謝謝有人願意理我 目前買進201張 人生好難
B大你手骨好粗 看往年配息抓75%大概會配個1.5上下看股性應該這幾天就會噴上去了 明天沒噴入手2張試試這檔沒什麼人在當沖 但今天有新聞出來
沒啦 勝率高 投資的部位也比較大籌碼一直都很不錯 我另外一檔亞力今天也漲停了 同樣只有我在貼文底下嗨QQ
B大厲害挑到飆股 錢套在2534和1907不然好想買XD推薦3209給B大參考  我去年18.7買21出去年EPS2上下 配息也很感配 應該會在1.7左右不過3209佈局在大陸居多  1.2月會受影響目前是沒看到特定主力在撿給B大參考  3209不差  只是量偏少
朝聖
