我們的人要去加班睡覺了^_^
6173已經公布營收了阿 只是很低調XD
買股票跟單要有自我判斷力，你重壓，別人可能才買幾張而已
東元破低該停損還是要停損 大盤死貓跳格局不變
T。T明天中美來個親親又握手又抱抱...這該怎麼辦XD
意思就是只要降幅不大就不買回？
然後川普又推特補個刀...習大是我的好朋友之類...不忍...越來越嘴...慘XD
睡到一半  我阿罵叫我起床快停損
傻眼......
聖誕節急殺單...可以期待一下~讚...
小納好強
h大 聖誕急殺單 是往上殺還是往下 輸錢阿罵不讓我睡
Amd 站起來
聖誕節你拉K線自己去看~ 可以幻想一下啦...哈哈哈補領~
反彈跟死貓跳   怎麼分辨？
那時候聖誕節恐慌亂賣停損的一堆~就是對到目前這邊喔~看大壓力區23800~如果輕鬆穿越...空軍死光光...跟著走就好...不用猜未來~
小道中期目標價2445x 走著瞧...
還是要設好停損...沒有穩贏的事...U大等貿易戰結果...目前我只抓到一月底...
馬上進行至尊對決！
停損很好設 今低而已~ 過23500就等於開始軋了其實不用到1月底 我估計1/21左右就會差不多見高了
回平盤也無所謂
但最終高點有機會比2445x還高 拉高空不要太急
我也覺得一月底差不多明朗~讚!等待機會才事真的...U大很有耐心都咬大波段!
做多的話 先切個2-3個目標價 越高越少部位 風險不大
感謝各位見解 我再去跟我阿罵溝通一下
小道現在做波段比做當沖穩多了 XDD 很多人不知道而已
我有發現...哈哈哈
現在1000點的振幅 因為波動率變大的關係 大概等同於
方向感很重要...台股被資金流表到不要不要~還是美股公平
以前100點的振幅~ 這種天賜良機 還做當沖就棒槌了
U大高手~下次再挑戰你的大波段...我先作小段的就好...
至於你講的貿易戰 我覺得影響不大 經濟下行是必然結果目前應該是在走自2012年中以後的7年大循環 所以離走完至少還有半年以上... 所以不管貿易戰談怎樣 我都認為
我覺得貿易戰很重要~真的..後面看怎麼走..不要猜跟著就好~
2019春光明媚
低點會在Q2以後出現~ 然後要開始做底 都還需要時間
我只能抓到一月底...後面...給老天決定...XD萬一數據都很好~貿易戰又從谷底出來了~說不定走第5波~未來的事給市場去決定...最近的領悟
剛空就就業數據大好跟fed鴿，有夠倒楣，干
現在的國際pmi爛   反應的就是貿易戰提前拉貨的真空期若是貿易戰提升投資信心，未來pmi有機會再回升而貿易戰導致的股市修正，正好成了壓力測試
如果今天美股収盤站上24000？
川普有可能為了美股   而失去了完全壓制中國的機會
感謝U大的分享...ck大...川普為了連任應該甚麼都做的出來XD
川普其實也騎虎難下 你看他用的人 納瓦羅...
想請問FJ航運股還續抱嗎～～～
我猜最好的結局 就是維持現狀 關稅10%擺著
今天有沒有站上24000都沒差 走勢有2個禮拜時間可以衝2個禮拜不可能連500點都軋不到~ XDDDD我講2445x是保守講而已 大膽一點的話 254xx都有機會但是打到這層 如果空方還不反攻 那就可能是回升了我不認為Q1有任何理由會走回升... 經濟不可能變好der所以我定調的最佳策略就是等時間到 再看看打到哪層K棒排列如果不錯 就開始空 賭3月合約會壓低結算
96SC倒~96SC倒~~~96倒完97SC倒~~~~歐耶
我還是先做小坡段低幹桿比較有趣~感謝U大自己的心得收起來參考嚕
簡單講啦 小道通常1季只會有1個明顯主方向~看得懂主方向 順著做就好了 進出場開關隨便設也沒差最忌諱的是短期內翻來翻去~ 打亂自己節奏很容易輸錢的
今天多單當沖什麼時候可以停利啊？
小道小跳水
挖靠~ 空軍的希望來了?
崩崩
馬上又上去了XD殺下來給空軍逃命的
向下誘空？John 睡了嗎？
兩點的時候還很棒，怎麼四點醒來崩潰了?
感謝新聞，剛剛前天空單直接補了，來日方長
還好睡前習慣平倉 又回來可以空了XD
紅包行情準備嘎死空軍囉
空頭哪會有紅色的
我被發白包了嗎QQ
散戶無腦多！主力貨出得去，錢進得來！
挖靠  難道只有我賠錢
睡前在空道瓊跟空台股間選了後者，空在9610會不會爆
無腦多睏霸數錢
小道怎麼John-.-
原來9600是地板，現在會不會變成天花板？
今天應該跌了吧
不要吧！這禮拜我都還沒賣到，等我賣一點再跌吧！
27
今天在噴個幾百點我就解套了，靠各位了
多軍總動員
散戶接刀接起來，全力拉上9700！！
我覺得我今天死定了QQQQ
╮(－_－)╭
我也覺得我死定了
通常下雨天我就覺得自己會賠錢…
今天會漲啦
108年全球開盤漲幅2%，台股今年是-1.5%，要漲還跌？
跌xd
死魚
我覺得昨天漲的有點誇張，所以小漲然後持平或下去吧
Mopack！從土裡出來了沒？
目前上來換個氣順便買小鏟子，下雨讓土有點硬
所以沒下雨就會賺錢的意思嗎 羨慕QQ
散戶大團結！協助主力出貨 你我有責！
上面有說空9610，等等就知道吃土還是吃地瓜了
怎麼好多人做空
空空完蛋惹傻空笑死人道瓊目標30000點 台股至少15000點
==============108/01/08台股資訊重點整理，供股民做投資參考============= 台  股  9590.30  ▲207.79 (+2.21%)  918.68億 台指01 9563       ▲193   (+2.06%)  145 208口 盤後01 9603       ▲40    (+0.42%)     36 187口 摩台指 352.2       ▲2.4  (+0.69%) 八大公股        -19.23億 台指期未平倉口數（變化） 自營商  +4 953(+252) 投信 -29 349(+3 260) 外資 +37 76 3(+6 510) 台指選未平倉口數（變化） 自營商 -44 022(+49 490) 投信 -121(+0) 外資 +21 705(-2  110) P/C Ratio 108.83%  (+16.69%) 最大未平倉量         Call 9600 Put 9400 最大未平倉變化量  Call 9650 Put 9500 -- 道瓊工業   23531.35 ▲98.19(+0.42%) 那斯達克    6823.47  ▲84.61(+1.26%) S&P            2549.69  ▲17.75 (+0.70%) 費城半導體  1166.24 ▲22.28(+1.95%) 早0.0 --
今天第二天漲，要來空了
跟隨嘉偉老師七進七出 打得空軍措手不及
早
03秒沒人搶
我喜歡雯晴，但我也喜歡芷昀
推
芷昀++
雯晴贏了
芷芸也很棒呀
早
起床等停損
晴雯淫了
雯晴早
差一秒！
讓3秒
預計今天再漲50點明天開高走低，後天崩崩!!
玉山鴿遲到
贏了
推推~~~
芷昀是誰？
玉山鴿人呢?
嗨芷昀
早~在粗早餐 晚點看盤 (=￣ω￣=)b
GIS?
玉山鴿在準備玉米濃湯
多軍必勝！！
無腦多！ 過年準備入主高樓層景觀套房！
新人芷芸??
96要被倒庄了?
晴雯安安
芷芸 是誰  圖呢?
巨庭搓到破底-.-
覺得好冷清，大家是不是都被捷運絆住了
雯晴早安
1760最後上車機會，主升段來囉
撈底多單出一些
陳龍的光環壓對寶了
除了警示外又有新功能？jpg沒圖再說殺小啦 笑死
理財節目異常推介是啥 XD
菜市場阿嬤都在討論過年訂到哪家餐廳了-.-
快看看禾x堂有沒有哈哈哈
我阿嬤明天要去買房子了
美媽試搓大漲，康爸還趴在地上
光環這股名取真好，感覺會帶你上天堂
早
期指開的還ok，今天看來要看大媽臉色了
今天一定要讓SC莊家哭著回家找媽媽補錢
雯晴開閒聊天天忙 玉山鴿還不玉米濃湯伺候
未看先猜 昨天沒漲的個股 今天補漲
99傻多 別再送錢來了！
3324噴出
芷芸請寄信 年交易量7億 目前券商折數5折
芷芸是誰啦
恭喜雯晴贏了，推
追空ID舉手我看看
雯晴還晴雯 競爭對手越來越多惹
99vix
拉回收住9500 再買回多單
我只知道芸芸每天都要跟惠惠對決
文青文青得第一QQ
幫96SC莊家墓碑上刻個字9487
請寄信 我一日成交量 兩億
準備噴回萬點
昨天多軍最大聲依然大獲全勝睡飽數錢 0.0
大家發大財
芷芸是啥  有裝備明細嗎
昨天漲一天多軍就秋了? 都說是逃命點了 你看看早盤XD
多軍必勝 吼吼！
今天空爆你們
吼起來 多多
過年行情準備逆風高飛？
我也想在開戶了QQ
3324噴出~
雯晴水管終於破50了 令人感動
今天難道只有我賠錢靠腰開好低
早盤站穩9600...等等哪裡怪怪的
開太低了   空軍又要被嘎嘎了
難道今年87%定律改成最大聲方才會賺大錢？
最後上車機會
完了
開這麼低根本來送紅包的
崩
西瓜快下去 回到你該有的位置
航空起飛
美股上漲多軍就HIGH了，歷史告訴你多少次了美股漲台股又不一定跟著跑XD
可成烙賽了
高林是起笑了嗎
vivi我平掉了，我買了幾顆地瓜，一起來暖暖胃吧
可成又双挑戰200了  我都想下去買了
討厭FB 很愛炸訊息 而且每一個人都一樣
我的2906 放到都忘記了
可成好慘QQ
可成真的很可憐，你說他蘋概也還好，真的快跌成瓶蓋
華航 UP
快崩
99 2618
開高走低囉 多單還不快跑
GGgg了
2464買起來
空在9500 四口....
有夠若
GG成交單數比不上可成? 多軍快點跟上(才剛說就跟上了
htc 衝了
1784飆風再起
◢▆▅▄▃崩╰(〒皿〒)╯潰▃▄▅▇◣
htc手上現金多少 你們有研究過嗎
3025 今年持股第一檔漲停
買點運輸
分析師還在炒散熱 被動成棄婦？
才剛開始就高潮啊
空起來！
外資出貨日
可成又破兩百啦 可喜可樂 GG破200過年前搞不好看的到
悶死了，可成昨天賺的全吐回去了
究竟484誘空勒
6438威猛
鴻海要起飛了嗎
完了~
難道只有我誘空被嘎
黑啦
可成我同事買3XX 他要怎麼半
拉回就是買點
又再騙
大盤崩 散熱噴
1784鎖了，真棒
要v了
我們傻多都出了
崩崩爽
可成打第二隻腳
今天會不會百點招待？ 怕
果然又下去探親了 幸好昨天先獲利了結 看戲等撿貨
發生什麼事？？
開不夠高，沒機會空
2929 位階搭配獲利
晶晶都是隔日沖嗎
現在很難空吧 開低
99晶晶
傻多還好嗎
崩崩崩崩崩崩崩崩崩崩崩崩崩崩崩崩
崩起乃
跟+～對做就對了
黑好快
主力要出貨，散戶團結一條心，吃貨吃起來
我阿嬤問說現在加入空軍還來得及嗎
拼命倒 大家比誰跑得快
未看先猜誘空盤....尾盤嘎的你爽歪歪
昨天漲太多了
9487..........................................94狂
搶到了，恭喜啊
先到公園卡位QQ
台股又要崩了
現在加入散熱多軍肉還很多R
日經期-0.4% A50期-0.01% 結果小道+0.20% 請問在反應哪國
昨天漲太多 今天還開高  死貓跳都能嘎人
跟外資做對豪煎蛋
等等V轉
康友噴噴
神盾列車又要發動啦！
這誘空
雖然美股期貨在現貨開盤前就是猜漲跌 但也要注意合理性吧
看推文以為大崩兩百點，穴穴真樂觀
要v了
旺宏營收爛成這樣……沒跌停？
跳水囉~~~~~
旺宏就是有人套牢在炒股
11/30 ppp123       □ [標的] 科妍1786（空） <-- 高手
笑死人   開盤23分鐘就有人被打臉
台股真是世界爛 只會漲爛股 又是誘空盤
2027誰在買
公園卡位囉
完了 空單要被嘎慘啦? 晴雯啾啾偶 \("▔□▔)/
昨天台股不甩國際盤   今天還想重演   傻多真的太樂觀
跌不下去  只好向上了
無腦多嘎起來
握手大會 高興一天就好
我傻多 可是我一點都不樂觀阿= =
肛起來啊！
大夥抄起來！！ 不然主力無法出貨
我雜牌空的空單哭了，等看大媽再進場
11/30 ppp123       □ [標的] 科妍1786（空） <-- 高手
2027噴噴
ppp123      喊的時間點好強，生技買點耶
台指逆價差傳統這兩天都看不到
大成鋼買起來!
當台股傻多的超可憐 股票全都不會漲 只漲爛股
多軍加油!!!
大媽這助攻..
由其是那種業績超爛 散戶看了就討厭的爛股 才會漲
2027買起來！！
倒貨的節奏
你在說紅茶嗎
金融帶頭下去熱辣
流感來襲，生技、疫苗漲翻天
基亞不怕空軍
剛說完，6547開始往上動
大成鋼老闆真的很替股東著想堅守42 買起來
Csir:今天難道只有我佈空?
2027研發出鋼鐵人？？
台股大漲隔天就空   好簡單
買基亞買云辰..台股只剩爛股會漲了
雜牌空軍一向是開高不空，等下殺再追空，然後跟我一起停損的
基亞(母雞)帶高端(小雞)
巨巨-.-
櫃買還是很強阿。走勢不明顯啊
1760最後上車機會，生技日買寶齡
3533 1月期貨跟2月期貨拖勾 二月反而往上敲 頗奇怪
西瓜 怎麼了?
塊陶
百點招待的FU
西瓜 怎麼 了？
3025星通...這樣鎖 是要怎麼買啦...(甩)
大媽要發威了，台韓一起向下
今天難道只有我追多?
還會有人出來吹大成鋼嗎
散熱噴起來～
沒有跌哪有漲
4163大爆發
我今天也加入多軍了
旺宏營收低去年已經反應 不是消息了
6438接獲大單，買起來放
尤崆
連+～都變多頭總司令，空軍真的沒朋友了-.-
崩崩
現在空軍不利 而且有股東會 除非你是主力但我敢說台股真是世界最爛 美國都在漲 台股就只會跌
記得那些叫你不要空的ID 嘻嘻
2371?????
台股好弱.......
現在下去也是多空雙巴...雙巴盤...要空可以 四月之後
誘空？ 騙不到我的
又在亂拉了
嘉晶好扯
誘空完上火星啦 稍微一跌一堆不停損的空軍出來呼吸
晶晶又開嘎了
晶晶要帶頭噴了嗎 
拉底就是買點，無腦多，重回萬點榮耀~~
空起乃
喔喔 創意居然平盤了
2371...王光祥是找齊人脈和主力資金了？@@
兩光金昨天那一根你才要問怎麼了吧   這兩天要開炸了
神盾 主力=.=
要出門旅行惹，各位多空股神加油~
台股軟綿綿~~怎麼發大財?
今天是很標準夜盤婊人盤  夜盤高點回不去了
西瓜今天才是正常發揮吧
壓身家無腦多， 紅包行情啟動了
今天站空方比較舒服
神盾有夠會婊人的
塊陶
中國大戶早知道= =？
西瓜 怎麼 了？
電鍋發爐了
大媽跑得比誰都快 兩岸一家親
傻多 安心上路
漲多要回檔了
買滿電鍋好過年
沒人玩
嘎pk
玩到沒人玩
拉回就是買點，自己的年終自己賺
神盾嘎好久
Gg殞落
西瓜 怎麼 了？
櫃買很強勢喔
塊陶又崆
不死神盾猛猛
誘空 別怕
今天怎麼惹
西瓜 必 需 死
西瓜 怎麼 了？
有彈記得跑 積極者遇壓可布空
四寶又再撐指數  跟昨天一樣套路
多軍不用怕阿 你看SP9500的這麼硬 不會破啦 安啦~~~~
今天主力做空 別站錯邊
不用天天找主力  昨天夜盤做多現在每個都賠錢 誰拉你解套
創意紅了欸
持股果然核炸QQQQ解套的希望又就此幻滅了QQQQ
和碩真慘
要拉了嗎
非金電撐盤...
聽說有人跟大摩反著做台GG
3324大單噴出
5264送分題，蘋概唯一成長股，請用力空
股板高手應該沒人被昨天的死貓跳騙上車的吧
聽說散熱空軍很多
我覺得等等會紅盤 持股被人拉到平盤了 主力剛在吃
多軍不用怕 明天周結算莊家們一定想結算在9550通殺 別怕
99 8299
四寶拉很兇
幹 大噴射
宇智的散戶好可憐，被主力耍著玩，早早停損才是王道
某老師說跟漲不跟跌～是跟跌不跟漲吧
買起來！！ 融資開好開滿
3128股版每個人抬一下 我就發大財了
四寶可以上車？
不意外 
噴出...哭哭
跌不下去  幫傻空QQ
大崩20點 小漲200點 空空蒸蚌~~~~~~~~~~~~~~~~
就說又崆了
拉 雞啞 康友 那些股...=.=
99巨巨
今天無聊盤~繼續整理資料 收盤完再來看~(=￣ω￣=)
摩根大通昨天敲四寶 今天看起來是續敲
西瓜 怎麼 了？
大同大同國貨好
西瓜抄底的獲利出
巴死你們
曾幾何時換台GG在扯後腿了
99 9958
出 去玩..高興一天就好
V
但我幾乎每天都出去玩...哈哈
散熱噴阿 空軍還不快認輸
天天看AV，身心都健康
大同倒貨啦
98.7%的人喜歡每天猜漲跌
挖新手 請問西瓜是啥股?
新光金
2371山崩了 要逃趁早...= ="
達方 達運 達邁 都漲 這是樂透名牌嗎
每天買樂透期待中獎，卻常常被莊家把你的Call和Put吃掉
買2371的請盡快倒出去 市場派倒貨了...= ="
樂透不是每天買的 = = ...傻傻
大樂透是經過電腦落點分析的 不用買了 都騙人的
放給他漲
電鍋燒焦了！
大同早上是???
早說了有彈要跑積極可空
今天外資一定是賣啦，完全不用猜
2371三不五時就跳水@@
台股真的很硬殺不下去。要戒慎恐懼
阿川等下推特一波帶走
大江別再睡啦 快醒醒
多軍以為會重返萬點解套，沒想到卻崩到四千點~真欠空~
跟你講嘉偉雖然被主管機關警告 然後把2019天崩地裂給畫了叉但你要知道症腐不可能讓你言論自由的 所以2019還是很慘
叮超也很厲害 每隻股票都漲 跌的時候又是早就出掉了 讚
康友誰在買
環島王又在炫耀有信徒力挺！不忍...龍邦...
還會再拉一次...
多軍們你看 9550是不是很硬阿 莊家們超想明天結算這對吧
蛤原來+～天崩地裂有被警告！ 警告完變2019風光明媚-.-
死撐著主力真想殺會人仰馬翻
大戶在賣了
散熱好噴啊
買了就被倒貨了
翻紅的檔數慢慢變多了
昨天早就說放空都會大賺了，跟著beta大將軍、羅曼大空就對
台GG拉低指數
笑死
2371要跳第二次嗎
西瓜 怎麼 了？
散熱衝啊
這禮拜領先大盤哦！可能是因為台積電跌比大盤多的緣故.
6523是怎樣 忽然暴漲
衝阿
除非習老大突然出兵攻打台灣，不然不會到四千啦！
雙鴻漲停準備
神盾快回補喔
2891還有救嗎？ 不敗教主概念股...
多軍多起來
你看阿 多軍是不是真的不用怕?SP莊家下面就跟石頭一樣硬
雙鴻 衝個漲停試試
99巨巨
空軍又被自己的錢尬了
992330阿
國安 用力買下去
雙鴻 幫信徒QQ
這量....
沒人要玩zzz
統一加油 吼吼！
兩隻都在拚漲停 是怎樣-/-
.............股板多軍黑手主力99我的持股QQ我不想成為今天唯一一個虧錢的QQ
爽紅嘎起來
又翻紅了，太神了沒量隨便拉跟踹
明天小心了
誰空3324 勇氣可嘉
SP莊家硬了 就換SC莊家要漏尿囉.....................^^
衝阿
雙鴻昨天100就跑光了QQ
忘紅半年前原來有43.90 厲害
TGG委賣千張瞬間抽掉了
黑手已看清趨勢，主力空即將到來
3324不解釋 噴出
炒起來
今天多軍說話
華航一直買
神盾太強了
神盾大單的力道感覺是要拼漲停啊...
台積電是死掉了嗎
統一尚勇，吼吼吼吼後
挖靠出去看個廢文散熱就噴了
大摩降評>>>PTT
57 58台的厲害 超眾漲停
旺宏平盤啦 太神啦～～～
一直吹
沒量妖魔亂舞啦
賣壓無敵大 被解鎖了XD
今天有點吐血，雙鴻神盾都沒買到 乾......森77
認真跟你們說 去年爬不回萬點 台股已經走空了 覽X捏緊小心操作
神盾防空系統果然是當今世上難波萬 =.=
我的盤有點死魚啊啊啊
3324小賺4000
11/30 ppp123       □ [標的] 科妍1786（空） <-- 高手
散熱蓄熱火熱熱
鎖拉! XDDDD
好難玩啊啊啊
0.0
神盾猛
前陣子不是有位買台gg權證賠錢慘戶 現在抄底好時機喔 cc
力山勃起
早說過柯妍別亂空
所以你覺得去年26事件殺到SC莊家出來哭是不是只是剛好?去年選擇權跟期貨還有一起算維持率耶 單SC被炸在來哭包阿不是看空才SC?做對方向好厲害好棒棒怎麼大台沒空下去?
台達電  140
橘子噴出...
越爛月噴
VIX賠15%了要停損嗎?  995
生技滿手啊 XDDDDDDDDDDDDD
謝謝台達賜我吃穿
蘋概連環爆，後天台積公佈12月營收會不會很抖啊？ 憂
公布後大摩說優於預期 結果又不一樣了
隆隆危險了
有本事殺破9300讓我停損阿 笑你沒本事 哈哈哈哈
各位股神可以救救我嗎？
營收都反映玩了 你現在不買 難道要等反彈再套嗎
台積12月營收一定很慘 知道的人都先跑了
一堆拿雙鴻的低獲利來跟自己股票比的分析師又要崩潰了
台積十二營收應該還好 他們現在低價搶單 慘的是毛利率
西瓜 怎麼了
營收不好會跌嗎？勿忘昨日大立光
3533  又怎麼了 一直下沉
旺綠真的不要摸...太妖
怎麼有種要噴噴的感覺
台積毛利再怎麼低價搶也是屌打聯電
3324出清囉~ 感覺怪怪的 小賺就跑
量好縮
雙鴻鎖不住漲停 漲停打開XD
多空部位都賠錢 好機巴的盤
台達電  帶領大盤  重返榮耀  衝RRRRRR
預感神盾又要噴
..........我的是向下衝QQQQ
生技好爽啊好爽啊
神盾空軍881
哇，神盾
神盾這套戲碼今天演了好幾次
神盾下車 轉個便當錢夠了
神盾燈燈
生技這什麼XD 挖到石油嗎？
幸好昨天認賠回補了 沒被神盾艦嘎到
神盾...
神盾又開始妖了XD
神盾艦果然是最難打的 空軍還是避開XD
我今天才補...也還好有補
gigibuffon可以貼一下你的持股嗎 我來跟你對作
滿手的泰博啊
神盾...
神盾~~  好猛~~~ 12月營收差成這樣~~~ 股價卻是翻翻翻~~
笑死   訂閱仔又上來ptt收信徒
神盾艦防空系統超強XD....看來還是小心被飛彈射到
股市真不是常人能理解的世界~~
台新戊特二入戶頭了 早盤沒有直接出可惜了
求訂閱
神盾今天當沖做空的 應該賠不少
神盾今天不會跌下去，別亂空啊...
神盾妖股~~
昨天才有分析師說空神盾賺兩根 誰曉得他們是不是跟主力合流
越爛越噴 台股!!
持股持續死魚中 QQ
好無聊喔
在電視上講完馬上嘎三根上去 說他沒鬼 還真的沒人信
大老二玉晶光要閃邊去了~~~
能把神盾做得好的真的高手 馬的 各種拉殺拉殺 扛不
生技就美國藥價好像2019年有漲10趴還幾趴所以台灣
越爛越噴
跟著受惠
神盾漲停 開高再空啊！傻了
神盾 差兩塊  漲停~~~
神盾主力很壞的～～ 不玩這隻妖股-/-
不要再管神盾了，生技大爆發啊!!!
笑死 昨天就是一日行情嘛 ㄎㄎ
都給你們賺就好
995..............
生技 推哪支???
99巨巨
買啥跌啥 賣啥漲啥 天要亡我
看哪支沒漲停就閉著眼睛買啊
過年前選一邊all in就對了
台灣電子業真的沒救了 本益比8都嫌太高 撐不過5年
那就跟自己反著做吧
神盾、雙鴻都沒有鎖住~  @@ 這是什麼情形?要下去了?
財報 是不是只能 盤後 才能公布???
雙鴻的融券XD
995
雙鴻死很多空軍在上面遲早會有勝利者!!!
神盾已經是神手區了...
台積 鴻海 軟趴趴  唯獨大立光  小頂~~~
神盾還是得看主力怎麼演
看來台積210 似乎會守不住.
空軍聽令 : 全數資金放空 散熱、5G、蘋概股
昨天大漲 今天...
被動1.2哥 睡死~~
請問一下2906高林可以買嗎，有好消息面，今天馬上漲停
笑死有八卦
搖搖欲墜 顆顆 準備開崩
而且每年穩定配息，這樣最差當定存股年利率也有4%？
川普推特說無止盡的戰爭 是不是想暗示什麼…
2014 火箭升空了嗎
2906高林拿到rimowa 股權呀昨天晚上的新聞
空頭市場就是如此，暴漲暴跌...
==
但朋友說不要看新聞做股票
神盾今天真有戲
神盾不會又一波拉高吧…
買了2張高林當定存股看看
2014別緊張 當沖的等等就倒了QQ要慢慢漲 才能漲不停
神盾掰掰
謝謝盤中推文橘子噴了，你的推文是給大家放空得訊號cc
撐盤撐得不錯喔
閒聊越來越沒人了
某篇原po氣pupu
神盾 可以空了~~~ 沒燃料了~~~
要大逃殺還是拉一波?
台企金這單量是怎麼回事
3324笑死人
今天應該又只有我賠錢了吧
今天收跌~~
神盾不能空吧...大單都還在車上...
6488在幹嘛
4725 推
把追高的傻多殺一下啊
3324小跳水
閒聊的人也少很多了
3324漲停套多少人
@@
早盤就空神盾漲停價惹 居然沒成交 QQ
雙鴻嘎嘎嗚啦啦
閒聊剩我這賠錢咖 我相信其他股神都賺到不想出來了
這禮拜都沒賣不算賺，也不算賠，唉！
還想玩神雲吞啊，內褲買好了嗎～
送分題，每天隔日沖都可以賺錢
外豬從新年放到過年？量好少
雙鴻要下去了
一覺醒來空空又數錢~
3324嘎爆股板
今天油價太低，不倒貨^_^
2834來個2千張直接翻紅
2834施建安好棒棒
5264送分題，買來等利多新聞
也救一下2887好嗎@@
3324再怎麼跌空軍還是賠一拖拉庫
昨晚不知道為什麼做夢，結果2點多醒過來尿尿，順便
3324就算跌停 多軍還是大獲全勝 買在90幾的就是雜牌多軍
放空也可以賺錢，難道最近善事做太多，每天報股版賺錢能得到福報^_^
快平盤
3324避雷針啊
神盾還在醞釀
樓上成本多少呀 說話這麼大聲
有一股神祕的力量在補鈔
6180橘子 速速跟上加空 要翻黑了 真感謝早上那個推文說橘子噴了的
空軍聽令 : 全力放空 2377微星、6285啟碁、6180橘子
Adame我記得你不是100就該停損了嗎？從70空到現在
停了 手癢又在空啊
現在還有券？
煩死了持股有夠爛QQQQ3672爛透了QQQQ
救救我的3548 讓我快快解套
大成鋼不再噴一段嗎
芷昀又誰了？
偶只認識芷若~
國巨一臉就像垮下來的臭老女人的法令紋
國巨還在死撐  撐滿久的
爛透了持股全部爆炸 3672跟6276都炸裂QQQQQQQQ賺這個字果然跟我無緣 難道是要農曆年過完才轉運QQ
倒貨囉~
樓上那兩檔小跌  沒事沒事
99國巨
趾允不就是洨辣椒？
99我的3324  我標準散戶追高殺低阿~
6276敢買進去？ 勇者
雙鴻這條線也太長突破又這一條
買之前為什麼不多研究？ 一天漲跌就受不了，乾脆別玩
空軍聽令:脫下褲子 跑到路上 大聲喊出 我愛炒股
8415還不跟上2027的腳步
無腦多睏霸數錢
3324尾盤不拉高 明天就難看了
神盾要拉漲停囉
神盾衝呀
過去一年2027噴噴時 過不久大盤就GG
黃精這死豬還不快乖乖下去c，看來又被偶股版法人倒貨在高點，不認輸了～
大單沒連續，上不去...
真心想空神盾....
永冠   舒服
到底跟自己的錢多過不去，一定要空這種主力嘎空股...
gigibuffon貼一下持股啦
正價差，看來黑手又輸了一屁股債了，渴憐~
小辣椒是佩芸吧!
友訊衝啊
神盾開軋
因為鄉民不想26炒神雲吞，硬要跟他對作～姐丟係愛呆丸啦~
多神盾空國巨 看看哪個會開獎成功
塊陶阿空空
我的殲20準備起飛 空爆神盾
台股真的好費
