之前外資一直騙散戶進場 明天要大殺了
玉山鴿回來了
從股版人氣每天比西洽低就知道呆股沒救了
西瓜汁配紅茶  喝了頭好壯壯
2412 2019財測 eps 4.4~4.6
  跟老師一起快樂的金豬年
每次崩跌股版人氣馬上就回來了
我再說一次，今天封關
995
我家是大安森林公園阿，歡迎今天賠錢的來我的帳篷吃火鍋
想請問西捨大大火鍋配料是什麼@@
早阿 大家 瘋關後豬年見
一堆紅？？好礙眼啊
有賺錢是好市多牛排，賠錢就只有金針菇
開盤即出 領錢過年
9938每天都在洗人，還沒上車的趕快，要重返榮耀了!!
準備一起拉上萬點你開心我開心大家開心
99vix
晶晶搓真高 這樣昨天沒上車的人情何以堪
肉鬆 衝衝衝隆隆 還在噴QQ
今天封關噴定了
為啥大家都說年後開紅盤？？難道不會跌嗎？
時間一樣喔 那選奶大的 @[email protected]
台股只會漲，不會跌
今天棄股過年 傻傻的
上萬點？？ 大家還有股票賣嗎？？
沖了?
除息前買上緯投，爽賺一頭牛
2330續跌
6188...
大盤不動，恥骨全紅，好爽啊
崩
噴
西捨哥每天請吃金針菇
友達直接跳空哦，還好緯創漲了
等大媽一起拉
爽 要崩了
利空太多 先嘎一波
友達今天跌這麼多...
台積電連續出包，不可思議
開盤買上緯，尾盤等數錢
抱股過年，上萬點
3406這線型  想緩緩漲???
不是財報越爛越漲嗎 怎摩友達會跌
彩晶裁員 股價準備噴出
不確定因素多10幾天沒開盤風險大全出好過年
信心不足，決定先賣一張晶電...
gg軟掉  今天484沒戲了
多空們年終歲末一人一句好話祝福彼此
神盾真的猛
gg又下來了，再買張回來放定存紀念一代龍頭…
要封關  沒啥跌  真是對台股有信心.
去年年前也很多人說抱股過年 結果咧？還沒學到教訓啊
有資訊的這篇置底了
別忘了二月之亂一次就讓人畢業
板主英明 這篇才會至底
靠盾過年了 謝謝盾 Q~~~~~Q
死魚
看好萬點封關的 現在正好逢低買進
又是無聊死人盤
神盾噴
中小主力準備趁機倒貨??
恐怖哦
神盾外資繼續買繼續噴
8905買起來
今天沒什麼量 晚點看籌碼就可以準備收工啦
VIX放假9天會跌多少??
神盾井噴
換現金過年 不倒貨哪來的錢
Vix 續抱嗎
緯軟硬起來
放假9天 會不會到6塊
友達預期明年營收大暴跌吧
9天後，美股26000了
有點想把第一金賣掉換別張 :(
九天後 美股22000
雯晴明後兩天沒開盤 要不要跟我出去玩？
台股真的有自己的走法
VIX到6塊我就歐硬
神盾賣壓好重
死魚盤 人都在銀行
友達今天如果黑棒 那就完蛋了 好大的島狀阿 XDDD
鴿 希望今天收盤就開個紅 給傻多開心一下 @[email protected]
中華電信 屹立不搖
看好vix ？
大家都去銀行領錢好羨慕，我去補錢
3708天天噴？
台銀排了50幾個人等換錢= =
Csir大地主 家裡床下現金好幾十億 搬不完
短線都偏弱了
羨慕西捨= =
無聊的盤 明年見
2412降財測股價不動 硬硬der
又羨慕多多收盤有高點出場 現在又可以低接了
gg倒貨
聯電掰....不對我賣不掉QQ
期指不妙
相信萬點封關的 先別跑啊
一臉要崩的樣子
C捨又要去銀行存錢了?
萬點封關的傻多呢 死去哪了
C捨老爸靠大安區土地租給別人，每月收入上千萬，C捨富二代
去補錢啦，賠太多，剩下的當紅包錢我一個月才23k，感覺換工作還比炒股好
大家都很強 抱股過年
殺一根無量的又在騙
1201誤殺??
還以為今天會噴出  洗洗睡了
豬隊友台積電表態了
聯電怎麼了
Vix 續抱嗎
想必早上一堆傻多還沒開盤看蘋果盤後就高潮了笑死
T+2交割欠券商的交割款沒在欠過年的
連假 標普會跌嗎
說好的萬點封關
2498高殖利率買起來
   ？？
封關日收黑
看多GG的快去買阿不是看很好？
說好的為空軍封棺...
2382今天硬起來？別急！！
臭嘴哥一喊 聯電掉5.8%
舒服~
看這斜率 友達會跌停嗎??
這盤中氣氛真的好沙鹿阿..............
2303 2018Q4虧損 吃了半根多  哭哭
別怕 今天收最低 年後跳空開__
死魚封關 0.0..
吹台積的id怎麼都不見了
1201要V了
想睡了
難道只有我賠錢
真是 應華借不到券了 0rz
崩
昨天聯電有人嗆就...
說好的萬點封關!?
2409 2303 2330 都在倒貨
香港指數期貨都-0.7%了 A50還撐
Gun 從9300嘎惹700點 傻多讓一下給我過個年不行嗎？QQ
2303有人在撿貨
3708出貨...
點精靈又出問題了。連了3、4分鐘才連進去
6213聯茂 多
味全超大一個V…XD
穩懋驚驚漲 讚讚
不是晚點封關嗎！這麼肯定！那有沒有拿身家去買多！
聽令放空智易的不知道怎樣了
美時 還能追嗎？
2371 要抱著過年嗎?
3708短線漲那麼多了 今天有人換紅包過年了
草長很高了吧XD
不是要送空軍上路嗎…
達興材料 你 下去！
志易 歷史新高了吧
智易跟著大戶持股買 舒服 70抱到現在
智易嘎爆空軍
蹦蹦
聯電真的很靠杯
昨天不是有人喊聯電的樣子  今天馬上落賽???
聯電賣壓不小
直接殺給你看肉鬆今天要收56了拉 給個機會吧
鬆哥，我覺得肉鬆今天很想噴
肉鬆封關前不會噴拉 壓盤吃貨
2412 要處份2610
收55.6以上 都是大勝利 收56代表填息賣壓消化完了
3596超強
大媽又想人來瘋
短分線不跌又變W型態了
GG兩天就把前面漲的都殺回來了
陸股好像也快翻黑了
跟f哥看一些線型 我好像有點了解一些畫線方式@@
@@
肉鬆的五檔真的多到哭欸 想買是只能追外盤嗎
萬點封關是不是不可能了？
 天天盤後巨額交割 來補借券 資減到不行 券一直增 股價一直漲
上緯好像不太妙…
希望各位大大再多一些畫線教學 削削
同樣業績差 漲的股就是利空出盡 股價反映未來
我就是想省100
主力賣 收工啦 
不用噴 只要台股利空 股價不跌 收55.6以上就好
跌的股 就是吃屎。像友達
瓶蓋股還是躺著好好的
6120達運快噴
羅曼大那是 什麼軟體？？
3708漲了30%+你覺得?
主力賣 散戶買????
那是網站拉 中國股市的
有這種網站= =
上海 日本 韓國 都跌。台灣還想漲？？？
8905買起來
現在自己找標的還不太放心 抄襲為主 自創為輔
我跟了羅曼大的智邦，心力苦
先預祝大家新年快樂 2019賺大錢@[email protected]高檔打雙支撐，不知道該不該停損
鳥派會員還在智邦車上 可以續抱對幹 勝率不低
大家新年快樂 買賀年卡記得買上面有口口叫的動物
感覺又要換人說話了..........
推 羅曼~ 新年快樂~~ 大家賺錢
之前跟鳥派對作強茂 賺好爽
今天肯定要收紅盤的啦
散熱好噴 不過投信一直偷跑 QQ
空手等過年阿~~
價差收斂，待會就要紅包行情
崩崩
元大金 17元
996552
2345加油。拉之漲停看一下
表哥今天發紅包
2409 2303 那副德性 台股要攻擊很難
表哥空點又快到了..
表哥猛猛
放空指數，做多個股，歡迎對做
投資一家公司股利雖算重要 更重要的是籌資公司做了什麼努力
1515超屌
智易推文點名後 就開始軟了
表哥
6278開始婊人???
現在多買一點 開工領紅包
智邦也噴?
聯電這根黑棒下去準備重新再測底了整個線型爛掉
達興材料 籌碼越來越集中 散戶都被洗掉了
2618 再見了
晶晶噴了
重新看主力黑手 2618要不要守
表哥  上車囉
力山到底要噴到何時
未看先猜..表哥收跌停..
4953最後上車機會
先猜玉晶光會黑k
99 vix
表哥大家開始high時就要婊人拉
鴨啾啾啾QQ
政府軍要發紅包了沒
6278晚點繼續噴嗎
記得某大推文聯電持股水位漲0.1就賺一萬今天就全吐回去了吧
4909爬起來
力山威猛
6278 幸好還沒下車
我發紅包了，空單剛剛補，發了8千。
A50翻紅
謝謝  新年快樂
阿散都不玩了
力山 新一代妖股
元大站上17了
嘎尾的會員，今天快樂嗎
開始倒貨???
死魚一盤
是要發紅包了沒
快睡著
這盤控的很穩
 劉鶴是中國最後寄託希望之光我只是很好奇 包子自己終究拉不下臉 找自己老同學來坦
跑步機要下山了嗎？？
8215買起來
９９５
5450廢到笑 連跌不知道幾天已經懶得數了 南良集團連炒股都不會真的過氣超爛QQQQ
看起來今天低點已經過了 差別是要收多高的問題而已QQ
美國基本上不會再對中國人好了 但也最壞不會再壞了
台股好強
今天估量才七百多億.我猜...應該不太會拉了  短分線指標控在中低位階 新春開紅盤才有拉高的空間
今天otc真猛
持股亮麗封關，果汁衝啊！
請問VIX放9天開市會漲跌幅度很大嗎??
5371昨天開獎開得不錯喔!
留點零錢賭封關樂透
看閒聊推文數研判大家應該都賺飽去過年了
中光電 等到你了
又是死魚盤的一天
最壞怎麼不會再壞？都還沒開戰的 連艦隊都還沒開進南海的現在就覺得最壞已過真樂觀
2014太神啦XDD qq
12點後賣壓才會出來，賣股過年囉
表哥又準備衝45了
gm大 留倉嗎
果然今天封棺
都快翻紅了我怎都看不出哪些股票在漲？
元大太早下車了，17了
不要在當奴工了 一起來股市創業吧
1413終於動了 舒服
v起來
說好萬點封關呢
空軍棺材開始釘釘子
OTC~嘎起來
留阿，過年期間都不出事就漲跌50%，只要隨便出個啥事就只有崩怎麼看過年留空期望值都比較大
5371低調，高殖利率概念
大媽要動了沒 等很久耶
幾歲了還不懂中國人? 中國人根本不敢跟美國打戰爭阿
可憐空軍
美國人都聲明了台灣海峽是國際水域台灣不是中國一部份
中國趕開戰，絕對內亂，中共垮台爽
你中國人還想要白目 那就後果自負 自找的罷了阿
怎麼不敢打，真把人逼急啥都幹的出來好嘛，中共反正國內早就搖搖欲墜在你美國本土種朵香菇一起死有啥好怕
ㄏㄏ可憐
越沒退路的才是越什麼都幹的出來的
封關守住9900~~
995
4960 幹 太扯了
  早骯
等大陸一顆飛來台灣股市不知道會不會開
我有一個朋友..好可憐..每天在這裡..10年了
今天不收紅封關對得起股民嗎？蔡政府出來面對
沒退路的人還會想自殺就是腦袋有洞 人死了什麼都沒了
外豬吃那麼多 哪時想拉
最後梭哈機會
你也推了一樣的文推十年.. 一哥
股市操盤比工作好賺多了
我有一個板友好可憐 每天在這打卡酸人出去玩
carrey16你在酸誰
股市花錢比出門逛街快多了！
6425開噴
他常常在那發這個酸就別理會了
到底是有錢人怕死還是窮人怕死阿？連這都不懂
那你也要能在美國本土種阿 想種就種喔 當美國棒槌
窮人給你錢你就怕死了不是嗎? 有錢人怕死哪敢戰爭 科
說好的萬點封關呢？
美國人不會再賞中國人錢花了 要就靠自己本事去賺了啦
新年快樂
你不是被桶10年 怎麼又出來了...
不是號稱自己全球第二貿易國家 為什麼沒辦法靠自己呢?
三商壽    終於有大單往上買了
神盾噴高點阿
GG買不上去呀
靠2885領了幾個月的年終獎金，讚讚讚
我要永遠記得2014的教訓……
每天都有可憐鴿
Vix 哭哭
你朋友就4ni
誰被統十年XD
2371 罰不怕 挑戰30大關
表哥衝漲停好嗎？
黃國昌之前一直打的4414怎麼了
3708套95.5QQ
樓上我也是…
表哥今天發紅包 有人去空他貢獻紅包嗎
11點應該會試探一波了
94多又加碼
難道只有我沒朋友每天股市賠錢
不過 亞美股都平盤或下探，覺得壓力應該過不了或馬上被反壓
加油好嗎 拉到一萬收關
隨緣單
死魚
台表哥快讓49哥解套啊有沒有人帶種去空表哥？
2887等12？
6120達運大噴噴，爽
3708
紅了@@
V
無腦多睏霸數錢
韓國90度小拉
開嘎
萬點要來了!?
2300張的台GG...可怕
估量增了 800億
權值股硬拉而已，繼續觀望別躁進
V起來
up
99 vix
台積大單來嚕
萬點收盤
鴨啾啾啾QQ
韓國拉滿猛的
看 人家都在噴 呆股死水
謝謝空軍 賞錢花
台指噴發
笑死噴噴
笑死 難道只有我輸光紅包錢
台G勃起囉 爽
封關賭紅十賭九贏
突然勃起是發生什麼事了XD
這不是射惹嗎
一路看智易拉漲停都不敢買
簡單到不行
別嘎我啊
終於翻紅啦 股民可以過好年了
台GG一根大隻的 勃起
99神盾
空點出現了......
好狠 升龍霸
不演啦 全力all in
gg這拉法真暴力
台指先大買再買台GG，標準黑手，但也可能拉高解套前幾天的留倉多單(如果覺得控到尾盤成本太高)
V起來
大江超猛 
無腦多睏霸數錢
噴射啦
幫空軍QQ幫我自己又出現在跌幅前100的幾隻爛股QQ
衝阿
究竟是要嘎空還是在騙傻多xd
看中國主力控盤真的滿猛的 讓慘戶套在山頂上
我大政府強勢拉抬  封關收萬點
5450真的廢到笑  逼我死心轉黑特QQQQ
GG好像拉得很吃力
有人跟我一樣買點VIX嗎
還好我多單還沒平，少在那唬我~~買指數ETF爽爽賺，為什麼一定要執著在個股咧??
黑手的力量
早就說了  紅包行情   最後上車機會  年後萬二
拉盤了。快賣
GG掛買10000多張，居然上不去
釘子大根棺材封的好
萬點收比較好看啦 黑手還不快出手
藍燈還可以這麼猛
發生什麼事…
嘎嘎嘎 
大家都在漲，我巨怎跟死魚一樣
閒聊的高手。沒實力 別害人賠錢吧 不怕以後生的兒子沒屁....嗎
GG一萬多張買單在那等  要賣早就全倒出來了 看也知道XD
突然來一波昇龍拳？！
用膝蓋想也知道這個盤就是準備為新春開紅做準備
1413準備亮燈
晶晶噴噴 昨天就說要上車ㄌ
看牙醫前台泥掛37.2 然後2小時出來..現在在噴...
幾個小時前不是某軍說話很大聲嗎 去公園了？
99神盾
GG這種掛買不是為了要漲，只是為了不跌，能買千張的人會在意那一檔？
撈過33128的空軍好心告訴你啦 指數被人控著時不能空啦
今天多軍大獲全勝，上看10000封關，空軍全部出金等過年
空單補一補好了 抱空單過年怪怪的
那富邦vixㄋ
買點塑化
準備迎接萬點封關 政府軍努力中
吸射賺錢了嗎
黑手拿退休金買gg囉
空軍天上飛了
空軍崩潰
沒有，這裡只有我抱著綠色的損益過年阿
哭空
稅金進場拉起來!!!!!!!
萬點封關
多數強勢股空單都在剪 2379反過來
空軍剛剛不是很大聲？送錢啦
你們家退休金 上證 韓股 日股 小道瓊 一起拉
誰買那麼多台積？？
想白目也要懂得看大人臉色 在大人面前白目不是找死嗎?
4927泰鼎昨天放空的今天被嘎到爽歪歪 不回補等等亮燈更慘
如果真的萬點的話誰要被洗臉
是國家隊的援軍來了嗎！！！！！！！
萬點封
西捨去玩呱呱樂凹回來
封萬點的話 開春就會很危險 預估封在9970+-8點
泰鼎42.15的時候出了，真的不敢抱過年
我猜封9987
突然來一拳
泰鼎拉的慢又很洗...真的很煩
上攻萬點
空認賠就會很快了
空軍就是住公園的命啦
期貨上檔賣壓好重 回平盤機率？
台積電目前買氣不錯
逼空空睡公園嗎?  好冷
大家開心抱股過好年
我先來搶公園好啦，大安森林公園我來了
連公園都要搶大安區的  真會享受!
賣掉後是11天後才能入錢嗎？
多軍一片樂觀是不是該進空單了
憨空不忍...
賣掉禮拜五就進了
空軍悲憤
舅舅悾悾  舅舅TA
Gun 來公園的先準備紅包啦 公園好冷QQ
今天賣星期五錢就進來了，今天封關銀行營業到星期五的原因就是這個^_^不讓你過年交割
持股死魚...出一出算了...好像還是應該追熱門股
智邦空軍停損。悲憤
每年不都這樣沒在欠錢過年的
沒力了
99 6245
　要　　進　　入　　最　　後　　下　　半　　場　　囉
晚上msft點燃最後一根火柴
這漲得沒道理 過年後準備崩了
與神童行 一張不賣 奇蹟自來
生氣了，先去公園吃便當
過年可以不用睡公園太好了
3545準備拉
多軍兄D發紅包囉～
12點要到了...上班族選擇抱股過年!?
不要忽視空軍跟政府 發紅包的決心
升龍一天最多一次吧？
睡醒看到友達被倒垃圾是怎樣
空空別哭 拍拍
憨空認為萬點就是極限+多多過年出金 年後不忍
準備破萬了
2617感覺到底了
尾盤破萬嘎爆空空大家說好不好
神盾下車 賺個紅包好過年
賭場最後兩小時
雜空被嘎爆過年
3708要等還是賠售呢QQ
噴噴了
臭嘴哥的聯電GG思密達
大家今天賺的爽嗎
9800開始跌一下空軍就高潮各種出動 怎麼越跌越高到9500了
巨根 母湯喔
不忍看
花小錢衝上萬點，黑手笑呵呵
今天達運還是蠻強的～
鳥派的智邦今天還不錯阿 是被糙鴿 罵一罵稍微有起色的樣子
怎麼恥骨跟大家走不一樣方向
3556睡很久了
2019的第一個月就輸給大盤。真是狀況不好。
12點一到上班族賣壓就是我大空軍獲利領紅包之時
開始殺了
怕QAQ
2439  賣了就噴  怒噓
泰鼎券資比56，泰鼎空軍不怕嘎好不好義隆，力山，泰鼎，空軍強悍到不行
晟田：O
每個都嘎個40%還不跑的
今天好紅好紅
空空買便當中
真的有人看閒聊虧一屁股?  大家不是都股神
好突然 吃個飯回來 就翻紅~
就說表哥今天發紅包 怎麼會有人去空
拒當老闆奴工自己當老板一起來股市創業吧
表哥 漲停囉
嘎偉老師 大獲全勝～～
49元10張的 重新開始玩拉 恭喜
表哥雲宵飛車
川普都不用睡覺的唷 單下太多守夜 發發推文擾亂市場
泰鼎又繼續上攻了 不要不信邪 哲哲概念股 無腦多睏霸數錢
大家發大財都去唱KTV了嗎
上班族賣鴨還不快來...
今天2409友達進場抄底的人賭注下很大唷~
達興材料 你 下去！
紅茶真的是挺慘的
準備換現金過年了 表哥紅包有領到別太貪心 換現金實在
如何賺錢：1. 買進元大金 2. 每天起床數錢
出清領紅包 大家明年見
不是說好大家要抱股過年的嘛，尾盤到貨是怎樣阿!
義隆出在87.4..好險沒被空軍炸到
6552洗完沒啦
表哥過年 不忘初衷 繼續婊人
6278大單想幹嘛?
要崩了沒力了
表哥剛46塊多叫你先換現金了
表哥超表
Vix
直線下降
婊哥別又來根天線阿
Amazing Grace  How sweet the sound.
準備跳水圖
That saved a wretch like me.
避雷針
I once was lost  but now am found.
忽多忽空台表哥竟然刪文了
T'was blind but now I see.
專業跳水。表格
啊啊啊啊啊啊
很多版友嘴巴做多實際在賣股過年 股版壞人多
2379低調的車聯王
婊哥 壞壞
達邁成本49.1還要繼續抱嗎...QQ
99vix
表哥真的夠婊
