盤中閒聊有內容的先置底 有什麼問題??
鴻海員工好慘  年假九天  竟然有一天是公司尾牙
尾牙如果是放假不算上班，但到場平均中獎獎金1萬那小弟還是會乖乖去滴
要30000點了嗎？
我之前說的空軍就是叫人放空在9400  不過是買反一 顆顆
空軍 哭哭了
我同學就是很爽阿= = 感覺每天工作都準時下班...
9990空單 該停損嗎 誠心發問
應該只是會小抱怨尾牙而已，聽演講都有獎金拿了organ 有人小道空在23500的…給你參考…你還用擔心嗎
難道只有鴿還在煮玉米濃湯，準備給我嗷嗷待哺的小孩嗎?!
你們放假還在猜漲跌喔
有些人很奇怪，放假還要開分身一直推類似內容，是都不會精神分裂嗎....
假日沒有朋友  在座各位都是我的朋友
開盤開高就是空
高點連連
美國PMI好到離譜 全世界都在衰退就美國獨強
我姐小道就空在23500……19口
美國已經脫離地球了嗎？Markit PMI 53.8=>54.9   ISM PMI 54.3=>56.6全球PMI 51.4=>50.7  (美國權重21.6%)
空軍 哭哭
我都懷疑美國數據是不是造假了.......
AmericanisReal
別忘了美股還沒回測呢！！
美國沒造假啊  只是會改指標定義\計算式  哈哈哈
台灣三個月前就跌破50了  再度領先世界各國～～
改指標讓我想到道瓊指數就是靠改計算方式XD
少年股神不說我都不知道
美國再怎麼會改，有連捐款都要改的羅曼厲害嗎?笑死
FJ也是股神level
少年股神不說我都不知道  
台股開盤會不會跳空百點 這幾天美股超猛!
美股回測 繼續上攻突破前高點29000 Get
就技術面而言 美股可能差不多了
看到一堆人喊攻破高點 就知道糕點差不多要到了前陣子一堆人空 就造就了今天的漲勢 百試不厭 ㄎㄎ
買vix報過年的 還整天看多 壓力這麼大？
美股已經站上年線 台股要趕進度囉~
摩台指三天漲了2%了
Vix 哭哭了 開盤下看5元
漲太快不是好事 真正長線底部要很扎實的
漲太快總比不漲好....長也在擔心
10月那波以後 都在這附近惡搞幾個月了? 還嫌不夠紮實?那像去年初到10月以前搞了10個月的噁爛圖形就叫紮實?
2017才真的是驚驚漲XD 你要看到一天漲1%都很難
槓 千金難買早知道  幸好金融股續爆
2/6以後至少有兩次機會可創新高自己說被SC莊家玩掉幾次?結果搞到後面幾個月一次比一次衝高能量還越來越弱貿易戰是三月就開始喊要打 弄到10月初才正式宣戰開打中間還有川金會的利多差不多那個時候量能是最高的結果SC莊家自己說有幾次都是刻意壓著惡搞結算不給衝新高封關前一天跟封關當天也是惡搞阿 結9930這數字真的隨機?封關當天夜盤最高點10030難道也真的都是巧合隨機的?只有SC莊家才會嫌漲太快不是好事 廢話你200點內SC賣很大時間價值剛開倉都給你賺了連結算前一天都要壓著時間價值所以我說過SC莊家本身自己就是個最大的空方 有疑問嗎?
富邦VIX預估只剩下6.8上星期收盤價7.4..........
還一個禮拜...大家都那麼樂觀 真可怕 完全忘記教訓
融券還這麼高，真的樂觀？
我也覺得還有一個禮拜 結論別下的太早……
老話一句 漲不樂觀跌說不要悲觀 這些都太假了如果今天大跌 就說不要悲觀?????這是什麼邏輯
太早了啦 一天都會大漲大跌的
考試考了50分說沒關係?結果過一星期要考學測???U
現在就說開盤怎樣= =
老話一句 漲太樂觀易追高 跌太悲觀砍地板
老話一句 跟著現況走很難嗎?
股市能一天從50分變0分或變100分 你學測能嗎 邏輯真好跟現狀走不難 問題你怎麼判斷現況是怎樣 少年股神?
再度提醒 大家真的別忘了還沒回測！
回測 然後上攻前高點29000 很簡單
呆股嘎到散戶上車才會拉回
空空不要自我安慰
一堆人繼續在討論文裡帶風向 XD也好啦  就讓缺乏獨立思考判斷的早點離去
哪裡有風向 我也要去 在中國叫節奏XD 我都喜歡
啊就從9300漲到現在了    你還在思考難道你要在川普跟習近平會面時......  你想幹嘛???我是不是眼睛有錯亂????  我看到的是真的嗎????????我怎麼看到 9305漲到10005  ??????????????
短多長空喊不樂觀正常吧 隨時等反彈結束啊
趕快告訴我   我是不是在自己的幻覺之中?????醒不過來???
笑傻空的 技術分析放腦後嗎？
摩台371.7 相對台指期貨多少？
10100左右
年後開紅盤 直噴200點
但真的別看摩台跟美股就嗨翻天，畢竟日韓沒漲什麼。不過台積ADR還算爭氣，目前還不錯，老話一句，還有一個禮拜，別太早下定論。新年快樂啊。
技術分析 ?! ㄏ
天天看以色列
感覺要往上了
Ck大可以用舒肥機ㄧㄚ
誰能解讀出來他寫了甚麼??沒能量圖 別想騙我的推╮（╯＿╰）╭
沒耶   我直接煎的     沒那麼高級啦    XD
不是能量圖 嗚嗚
c大這肉吃多久？
話說最近大紀元的工讀生呢...好想念他
可能又去周遊列國了      咦  我怎麼說"又"
自從沒了他 我最近都沒關心祖國的大小事了...有了他 台灣人民才可以無時無刻知道大小事
這兩天就吃完了吧，我買回我爸家，蠻多人吃的
無骨牛小排好吃的！！！
Strava 不是露餡美軍在日本東方海底的軍事基地嗎
難道只剩鴿周六還在辛苦工作?
玉山哥努力認真 猛
今天又看+～重播..玉山鴿出來面對=.=
..
玉山鴿為了奶粉錢 努力工作
玉山鴿賺完回家還要努力造人才能組豬寶寶戰隊，好累
那個肉有點噁啊～拜託行行好好嗎～
跌跌跌啊
吸金集團李杰上大雲食堂 不會是潘局長邀他一起去的吧?
乃哥又洩漏年齡了 Mr.Children都變 Mr.Oldman了 QQ
只有我不認識嗎...
少來這一套喔
明天先看以色列表演
今天美股沒開盤ㄜ？
樓樓上…星期六 全世界都不開盤的...
這種好啊，借點錢收8-10趴以上利息。熟人找你敢開口期末股本稀釋
48了 想知道原po加碼了嗎XD
朝聖
