text,label,raw_outputs,probability
投資股票前，先要了解你是那一種投資交易員股票新手入門 ：7個必須遵守的投資原則,2,[-2.61523438 -1.51660156  4.4375    ],0.9965517170344147
台股又創新高了...都是顧立雄出來給我說清楚~~是不是你在搞鬼??,2,[-3.0390625   0.82080078  1.35839844],0.6263864871563819
微軟及蘋果的筆電都已有少量的採用了，桌機CPU好像賣的非常好的樣子。不過看起來01好像沒人喜歡討論AMD 都沒人回應。,2,[-1.75976562 -1.41796875  2.81640625],0.9758162564625925
大概是01有眼光的人太少了..安靜的大賺不是很好嗎?,1,[-2.80859375  1.09667969  0.73828125],0.5817572419178094
感謝您們精細的解說還有些許疑問..復委託券商，請問 有推薦的嗎？ 另外為何有人說要選大間的呢？ 大間的手續費不是比較貴嗎?像我問新光他們是0.5%，找其他沒非常大的如大昌電子交易才0.15%低消 USD 15而已畢竟海外券商，會有遺產稅、電匯金額等問題請問，投資海外ETF(長期投資) 目前的年化報酬率大概是多少呢??(扣除所謂的管理費、手續費等...)肯定有一定比例以上的報酬才會考慮海外投資感恩感恩,2,[-2.13476562 -1.58984375  4.265625  ],0.9954952832483205
首先，年化報酬率並非只是一個簡單的數字而已，到底該如何定義、計算或解讀年化報酬率，投資朋友們往往是各持己見，有興趣的話不妨參考一下《年化報酬率的疑問》此樓目前正在進行中的熱烈討論或辯論。其次，純粹就數字本身而言的話，VT(成立於06/2008)和AOA(成立於11/2008)分別的1年、5年、10年及成立至今的市價和淨值的年化報酬率如下：不過，我覺得上面的數字應該沒有把每年的配息(VT和AOA目前都是2.2%左右)也計算進去，所以實際的年化報酬率應該會更高一些。還有，上面的數字可視為在各別時間點的「單筆買進」計算而來，可是大部分投資者比較會採用的是「定期投資」的方式，所以你也可以到此網頁《Vanguard全世界股票ETF-VT-ETF試算》去試算不同進出場時間點，以及不同投資策略的年化報酬率：最後，如果你想要試算一個有多檔ETF投資組合、或是比較不同投資組合之間的年化報酬率的話，可以參考一下此網頁的試算工具：《Backtest Portfolio Asset Allocation》。,2,[-2.1484375  -1.48046875  3.77734375],0.992185149871667
富邦又大又便宜債券etf例如ief/iei還會主動幫忙退稅（全退）（aoa也會退債的部份 但似乎比例上沒全退）0.2% 兩千萬一輩子也只收4萬,2,[-1.11523438 -1.65625     3.2734375 ],0.9807325558667956
S大應該進來一起討論才是,2,[-2.74414062 -1.36523438  3.90625   ],0.9936115764392611
哈哈，我這幾天忙著在整理我們家2019年度的家庭支出表、投資明細表、資產明細表，以及2020年度的預算規劃表。所以，我還是當個吃瓜群眾觀賞各位發表高見即可囉。,2,[-2.12109375 -1.61035156  4.2421875 ],0.9954247315795289
感謝大大們的解惑~其實我還滿想了解投資海外ETF的原因?文章中並沒有提到這點~畢竟台灣也有ETF、基金，也不用額外支出匯損、電匯等費用~因為以下?總資金部位很大，全球配置(區域配置)的需求?,2,[-2.19140625 -1.48046875  3.99804688],0.9938120578425427
對指數化投資人來說原因不外乎以下幾點：1. 更分散，譬如VT投資多達近50國8千支個股。對比0050只有投資台灣單一市場的50支個股2. 規模更大流動性更好，譬如VTI的規模超過1000億美金。對比0050只有1000億台幣3. 內扣費用更低，譬如VTI的年內扣費用只有0.04%。對比0050為0.4%4. 提供投資人更多元化選擇定期定額投資VTI十年以上的年化報酬率有9%以上,2,[-2.22460938 -0.38183594  1.90429688],0.8946469835589274
看來我已經把「年化報酬率」的意義、使用方式解釋的很完整，大家沒有疑惑了。,2,[-2.50390625 -1.484375    4.39453125],0.9962072347666633
結果誰贏了？,2,[-2.42773438 -1.40527344  4.140625  ],0.9947204874315053
p大,1,[-2.93359375  1.25292969  0.52734375],0.6670046594186047
大家都是贏家,1,[-2.99609375  3.16015625 -2.01171875],0.9922661689936962
請問目前這二組資產配置的投資報酬率計算有包含配息嗎?還是只計算現價的部份?大家問的問題及各位朋友的回覆都讓人受益良多，有些朋友面對的問題及思考的層面都類似，也在回覆中獲得解答，謝謝大家。,2,[-2.41992188 -1.45800781  4.4453125 ],0.9962403860805522
一段22K的故事影片　看懂大聯大為何決心入股文曄,2,[-1.39941406 -1.015625    2.33984375],0.9445860930935424
今天股價小幅上漲，會有好消息嗎？,1,[-2.64648438  3.6875     -2.93164062],0.9969001142122249
