text,label,raw_outputs,probability
有沒有想過長年金控獲利績優生 過去股價一直在40-50遊走即便今年盈源創新高 股市18000點股價80Why?,1,[-1.37792969  1.73046875 -2.14453125],0.9385910108616502
真香~,0,[ 4.98046875 -2.49804688 -1.14160156],0.9972485863758107
去年我就在金融股長期投資版說金融股有機會漲 100%還被人嘴一堆 年初的時候富邦國泰也有推薦那時候也蠻冷門的.大家還是先追電子跟傳產.....,1,[-1.97753906  0.84570312 -0.11987305],0.694359215143468
哈哈哈我打錯了富邦跟國泰一樣壽險主體，受益於債券收益，今年表現不錯，但明年呢???證券主體講的是元大，明年升息後也是gg現在想布局的話要去看銀行放款為主體的公司,1,[-2.54492188  1.07421875  0.22937012],0.6866113123500422
Why? 請指教,2,[-2.56054688 -1.54785156  3.85351562],0.9938888109717945
自刪,0,[ 4.8984375  -2.34960938 -1.04003906],0.9966635638280694
金融股早被一堆散戶要存定存股玩爛了，所以沒主力想拉，就富邦金籌碼相對穩定(因為幾乎沒聽到有人要定存富邦金)，不過現在看起來像是主力開始棄守富邦金，不然像這種大型金融股通常波動都很小的,0,[ 2.8125     -0.62646484 -1.09082031],0.9503239915763645
................................,2,[-2.58203125 -1.63476562  4.6015625 ],0.9972913926592771
這種的都要注意全部都黑平台啦..那麼好賺全世界都沒囧菜了.前陣子也有朋友問我要不要加入某平台上網一查全部都黑平台啊..阿..,2,[ 0.26733398 -1.47070312  2.15625   ],0.8490169718236716
我也被聯絡過！ 半信半疑看來受影響的也不少人！,2,[-2.35742188 -1.484375    4.37109375],0.9959559208779822
"前些日子出清持股，就是為了等""今天""!!2449京元、6182合晶、4915致伸 也是不錯投資!",1,[-1.34082031  2.28320312 -2.80273438],0.9681870932762185
我有掛50.5共5張可是沒買到除息前有再買回51.5元3張.除玩息之後漲到54.4元賣出,0,[ 1.57324219  0.53613281 -1.05273438],0.7008460331331816
繼台積電、鴻海之後，記憶體廠旺宏今董事會通過將採購及捐贈疫苗事宜，預計斥資金約新台幣2億元，採購莫德納（Moderna）或其他經WHO核可的新冠肺炎疫苗20萬劑，其中40%疫苗（約8萬劑）擬給公司及協力廠商使用，其餘60%捐贈政府，旺宏表示，這項捐贈仍待政府專案核准後進行。旺宏也是首家董事會通過將採購捐贈疫苗與保留部分自用的科技廠商。 旺宏公告，為了降低公司員工染疫風險、確保公司正常營運與國際交易，並善盡公司社會責任，董事會今通過採購 Moderna或其他經WHO核可的新冠肺炎疫苗20萬劑，採購總金額約計新台幣2億元，其中40%疫苗擬供公司及協力廠商使用，其餘60%捐贈政府，受贈對象為行政院衛生福利部疾病管制署。 有別於台積電、鴻海先採購再送董事會追認，各採購5百萬劑BNT捐贈給政府，旺宏先經董事會通過，將採購莫德納（Moderna）或其他經WHO核可的新冠肺炎疫苗20萬劑，其中明白表示，40%疫苗擬供公司及協力廠商使用。 對股價有什麼影響呢？,2,[-2.6484375  -1.20019531  3.48828125],0.988764962106205
鴻海是由永齡基金會出面...台積電才是追認...有差喔!應該比剛剛有guts點...,2,[-1.9609375  -1.68652344  4.1484375 ],0.9948808638455856
我之前沒買現在不敢進場 看著大盤上萬八又下來 怕大盤夠不夠力 這時進去就變成股東了,1,[-0.66796875  1.16894531 -1.67578125],0.8213832685856853
美股拉回但台股不跟漲跟跌湧現賣壓 盤中一度重挫376點後收長下影線 陸港股近期重挫台股出現多殺多補跌 五月以來季線第一次跌破代表整理時間拉長 從7/20第一次跌破月線以來 我們提到行情從多方趨勢轉空 除非17724點突破才止穩但可惜沒有 這波大盤融資維持2900~3000億的高檔 所以籌碼比較亂很難出現反彈 到今天湧現賣壓後先觀察融資是否退場 不然反彈的幅度也是有限 還是要看航運股是否能重返人氣 業績最好的不反彈也會影響其他漲多電子被殺盤 尤其是櫃買市場漲多的中小型股 從7/15台股見到萬八高點後持續拉回 從來沒有一天是站回前一天高點 止穩訊號要先突破昨天高點17459點 目前已經殺到萬七整數關卡會有搶短或護盤 個股部分資金移轉現象很明顯 漲多的中小型電子股開始修正 資金會重返有業績且本益比偏低的個股 除了貨櫃散裝航運、鋼鐵與面板都有買盤 投信最近買很多的股票如果破五日線要小心停利 敦泰、鈺創、矽創、創惟、智原、新唐、晶豪科跌停 航運股部分今天出現止穩訊號 就是萬海昨日外資買超第一名後攻上漲停 散裝航運也有一檔正德攻上漲停 都算是航運股的止穩訊號 近期的BDI是反彈的 所以跌深的慧洋、四維航、新興與裕民都有望跟進 貨櫃航運一個月崩跌但基本面沒有改變 FBX波羅的海貨櫃指數到6588續創高 2022年新船下水量低代表供需失衡 目前塞港率偏高與準班率一樣偏低 宏遠投顧調高陽明目標價到370元 認為不應該航運股當成國巨事件看待 認為2022年陽明稅後EPS為41塊 從美國線長約換約，陽明運力增加與運價高檔去預估 還記得7/2三雄股價最高點提醒大家下船 因為宏遠投顧給的目標價太高市場太熱 過了不到一個月反而不建議大家殺低 現股就先續抱忍耐，融資壓力大可能要砍部分 反彈到十日線或是月線再行減碼 因為基本面根本沒有改變是籌碼的問題 萬海昨日外資買超第一與融資降3420張 所以今天一馬當先成為領頭羊攻漲停 陽明可惜外資賣超2621張與融資大增8517張 股價一度打跌停希望是融資可以降5000張以上 長榮昨日外資賣超8161張融資增加5304張 不過已經相對抗跌尾盤拉高漲4% 萬海守穩季線且突破前一日的高點 就等陽明與長榮出現重返季線與站回前一日高點 ~7/20提醒台股轉短空，連續下跌後止穩訊號在哪? ~中小型電子股賣壓重，航運面板鋼鐵抗跌 ~航運股的止穩訊號來了，為何萬海漲停，但長榮陽明沒大漲?,1,[ 0.33862305  2.14257812 -2.72070312],0.8529719435227533
立錡收購英特爾電源管理晶片資產破局 聯發科今天公告子公司立錡科技收購英特爾（Intel）及其子公司旗下Enpirion電源管理晶片產品線相關資產案破局，但不影響雙方合作。 聯發科去年11月公告，立錡決定斥資8500萬美元收購英特爾及其子公司旗下Enpirion電源管理晶片產品線相關資產，拓展產品線，提供使用在系統單晶片、中央處理器的整合式電源解決方案，擴及企業級系統應用。 => 有人知道 最後 不買原因? 太貴嗎? 不過 MTK 也很多POWER IC TEAM   立錡 也很多了  為何須要買 Enpirion,1,[-2.26757812  1.46386719 -0.68164062],0.8764497013971813
電動車概念ETF，富邦姍姍來遲~ 【00895 富邦未來車】跟【00893 國泰全球智能電動車】 你會怎麼選?,2,[-2.22070312 -0.91796875  2.640625  ],0.9650469248427564
小弟掌握世界股市運行的基礎原理，也因此游刃於股海之中，所向無敵如果今天晚上有空，在繼續寫技術面的筆記吧,2,[-2.27929688 -1.13964844  3.60546875],0.9886546528232146
今天如果再大跌就斷頭了啦。所以說。沒財產的最大。什麼都不會怕。只怕討債集團。合法的才不鳥你的。,2,[-1.41796875 -0.5625      1.39550781],0.8325456297226193
人肉鹹鹹,0,[ 2.78125    -1.69335938  0.56445312],0.8925764375799705
雪紅姊姊的新股一定要追,1,[-2.66796875  2.953125   -2.09375   ],0.9900499261992335
股市都到了一萬七，2498的股價還在三十幾‧,1,[ 0.75244141  1.10644531 -1.89453125],0.5709031129934479
你好，我是聯邦銀行的專員，我們有做股票質借這塊，利率比您的3%低很多，有興趣可以私訊我0905968222,2,[-1.66699219 -1.77832031  4.26953125],0.9950207874603992
當成為第一後就沒有利多，只剩利空。,0,[ 2.82617188 -0.6796875  -0.66992188],0.9430968059647046
護國神山在美投資後就不是護國神山了...,2,[-2.19345093e-04 -1.42773438e+00  2.32031250e+00],0.8914363707610968
洋洋灑灑一篇文 政治.經濟.人文 社會...皆跨足 筆者意指不單純 這司馬昭之心...網民看得懂的,2,[-2.10351562 -1.69238281  4.57421875],0.9968526406832766
去護美國了...,2,[-1.28222656 -1.65917969  2.95117188],0.9761322589010598
物極必反 運費用上升 物價飆升 疫情貿易戰影響沒有大量便宜貨降價入通貨膨脹 沒人買,2,[-0.26635742 -0.31494141  1.78320312],0.7990568940963126
我全部財產4萬就買股。朋友43歲。全部存款3萬多。全買股,1,[-2.68359375  0.64648438  0.54150391],0.5164935991485631
我麼最低工資。到40歲省吃才存幾萬。哪來一般人100萬。,2,[-2.20703125 -1.72070312  4.46875   ],0.996698898328839
懶人大的例子是最佳教材，一般人會認為本小利小而看不起，不願意去做存股長期領息，諸不知萬丈高山也是砂石累積而成...,2,[-0.57275391 -1.37011719  2.75976562],0.950762121066369
歹謝，我看錯了，以為＂當初存到多少錢才開始投入睹市＂當作我沒來過，,2,[-1.73828125 -1.31835938  3.74804688],0.9896599661986664
不論多少進場 就是不要借錢進!!!,1,[-1.88378906  1.44824219 -0.90332031],0.8842196289092172
存到200萬以上，在家無聊就買股票看看。（拿一二十萬做價差）,2,[-2.49023438 -1.43261719  3.9921875 ],0.9940990014009797
有個幾萬元就可以進去了，但是必須是閒錢,2,[-2.3046875  -1.30371094  4.0859375 ],0.9937979207878402
我不會多說兩萬塊就選兩萬塊以下高配息的股票兩萬塊股票，一年配息給你$1600，你覺得呢?,2,[-1.84277344 -1.15527344  2.7421875 ],0.9704050519315623
5000開始花一年存10萬股票(10萬分10隻產業不同) 就此不投入資金! 第三年 已經變20萬 感謝中美貿易 疫情 目前邁向第四年 市值已經達30萬 感紫大與獅吼 賺多的都是他們分享的目標物,1,[-2.984375    1.74316406 -0.45996094],0.8934110113040749
來啊有種現在買長榮嗎,1,[-2.37695312  2.5234375  -1.96679688],0.9816801895108375
